	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	1.950547	MultiSuits	2.799079	4	1	1.950547	0	2	2	0	2	2	0	1	1	1	39	0	0	0.8945959	183.3465	1.001791E-05	140.7412	1.931867
1	26.10537	MultiSuits	2.802702	4	1	24.15483	39	8	1	1	8	1	1	1	1	1	39	0	0	0.5467422	183.3465	90	178.036	94.75633
2	29.77839	MultiSuits	2.889666	4	1	3.673021	39	2	0	0	2	0	0	1	1	1	39	0	0	0.7454997	183.3465	-180	166.7164	-179.9061
3	33.73328	MultiSuits	2.885527	4	1	3.954889	39	1	2	0	1	2	0	1	1	1	39	0	0	0.8115603	183.3465	-108	145.59	-107.7201
4	37.57125	MultiSuits	2.8752	4	1	3.837971	39	7	0	0	7	0	0	1	1	1	38	0	0	1.096094	183.3465	-126	153.3236	-123.5767
5	41.0699	MultiSuits	2.840551	4	1	3.498646	38	6	3	1	6	3	1	1	1	1	39	0	0	0.6859543	183.3465	-126	158.3571	-122.3725
6	44.64055	MultiSuits	2.851629	4	1	3.570648	38	6	0	0	6	0	0	1	1	1	39	0	0	0.8854331	183.3465	-36	203.4795	-33.88219
7	48.16529	MultiSuits	2.845294	4	1	3.524746	38	7	0	0	7	0	0	1	1	1	39	0	0	0.8283349	183.3465	-180	145.5416	179.0308
8	51.80377	MultiSuits	2.844112	4	1	3.638474	38	4	0	0	4	0	0	1	1	1	39	0	0	0.7454947	183.3465	-90	190.2875	-80.74066
9	55.56623	MultiSuits	2.847794	4	1	3.762466	38	9	0	0	9	0	0	1	1	1	39	0	0	0.8087134	183.3465	-126	166.0996	-129.4553
10	59.25376	MultiSuits	2.847579	4	1	3.687527	38	1	0	0	1	0	0	1	1	1	39	0	0	0.7291068	183.3465	-126	180.2104	-131.6191
