	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.092225	Basic	2	3	1	3.092225	0	3	3	1	3	3	1	1	1	1	38	1.999953	0	1.346662	171.8873	36	181.045	34.31182
1	7.200699	Basic	2.5	3	0	4.108474	38	9	1	1	9	3	1	1	0	1	15	0.1656703	0	0.992171	171.8873	144	159.0393	136.5373
2	13.67789	Basic	2	3	1	6.477189	26	0	3	1	0	3	1	1	1	1	37	0.2860937	0	1.772174	171.8873	30	169.5316	37.01176
3	19.28094	Basic	1.709888	3	1	5.603047	30	5	2	0	5	2	0	1	1	1	38	0	0	1.352185	171.8873	150	229.0003	146.3646
4	24.36426	Basic	1.925326	3	1	5.083321	32	9	2	0	9	2	0	1	1	1	39	0.3676111	0	0.8050835	171.8874	54	160.9785	60.30145
5	28.63625	Basic	2.098538	3	1	4.271994	33	6	2	0	6	2	0	1	1	1	39	0	0	0.7652352	171.8873	30	188.4798	32.78314
6	33.36383	Basic	2.219895	3	1	4.727577	34	6	0	0	6	0	0	1	1	1	38	0	0	1.31912	171.8873	-71.99999	164.7236	-70.84348
7	38.89094	Basic	2.274329	3	1	5.527111	34	5	0	0	5	0	0	1	1	1	37	0.4263338	0	1.650996	171.8873	-114	206.4663	-113.8589
8	43.30602	Basic	2.296677	3	1	4.415081	35	7	2	0	7	2	0	1	1	1	39	0.0647139	0	0.9546891	171.8873	126	176.1711	123.0274
