	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.727525	Basic	2.347737	4	1	2.727525	0	0	0	0	0	0	0	1	1	1	38	0	0	1.00423	171.8873	1.001791E-05	146.201	8.988672
1	7.696189	Basic	2.747885	4	1	4.968664	38	6	1	1	6	1	1	1	1	1	37	0.5979918	0	1.545593	171.8873	-126	171.1825	-141.4088
2	11.74869	Basic	2.612544	4	1	4.052502	37	7	2	0	7	2	0	1	1	1	39	0.1588793	0	0.7044914	171.8874	54	173.5789	53.66702
3	16.22863	Basic	2.707614	4	1	4.479942	38	2	3	1	2	3	1	1	1	1	38	0.3526455	0	1.021224	171.8874	72.00002	136.3954	69.50845
4	20.79435	Basic	2.715558	4	1	4.565718	38	4	0	0	4	0	0	1	1	1	37	0	0	1.748395	171.8873	-18	195.7181	-17.87633
5	25.38184	Basic	2.647607	4	1	4.587484	37	2	2	0	2	2	0	1	1	1	37	0	0	1.576027	171.8874	72.00002	149.2031	79.46081
6	30.14281	Basic	2.61667	4	1	4.760977	37	5	1	1	5	1	1	1	1	1	38	0.04969896	0	1.495335	171.8873	-18	201.9074	-19.82409
7	34.23451	Basic	2.600336	4	1	4.0917	37	7	3	1	7	3	1	1	1	1	38	0.06626883	0	1.013035	171.8873	-108	180.8176	-109.6706
8	39.19367	Basic	2.618229	4	1	4.959156	37	3	1	1	3	1	1	1	1	1	38	0.4498415	0	1.285006	171.8873	144	149.5915	138.3414
9	44.16309	Basic	2.617037	4	1	4.969425	37	2	0	0	2	0	0	1	1	1	36	0	0	2.03725	171.8874	-144	157.8805	-161.8962
