	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	0.1338909	Basic	2.690368	7	1	0.1338909	0	2	2	0	2	2	0	1	1	1	38	0.1657047	0	1.019885	171.8873	-108	135.9174	-107.77
1	4.61837	Basic	2.740058	7	1	4.484478	38	8	2	0	8	2	0	1	1	1	38	0	0	1.303444	171.8874	-162	191.0666	-160.4945
2	10.02801	Basic	2.669168	7	1	5.409641	38	2	2	0	2	2	0	1	1	1	37	0.1943229	0	1.681128	171.8873	-133.7143	128.2361	-136.0778
3	15.20626	Basic	2.582591	7	1	5.178254	37	7	1	1	7	1	1	1	1	1	38	0	0	1.224288	171.8873	-169.7143	160.5342	-165.5092
4	19.75721	Basic	2.596407	7	1	4.550943	37	1	3	1	1	3	1	1	1	1	39	0.3147688	0	0.8111628	171.8873	154.2857	142.2796	157.3151
5	24.60909	Basic	2.646009	7	1	4.851877	38	2	2	0	2	2	0	1	1	1	39	0.2318148	0	0.8582163	171.8873	-30.85715	138.4956	-29.38141
6	29.5768	Basic	2.675156	7	1	4.967714	38	4	1	1	4	1	1	1	1	1	39	0.4424928	0	0.8298531	171.8873	126	158.7211	129.1628
7	34.15881	Basic	2.698002	7	1	4.58201	38	5	0	0	5	0	0	1	1	1	39	0.3072017	0	0.8767948	171.8873	141.4286	139.8552	146.3994
8	39.09105	Basic	2.712202	7	0	4.932236	38	8	3	1	8	1	1	1	0	1	15	0.05176551	0	1.304437	171.8873	-100.2857	165.6606	-105.9953
