	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	1.951452	Basic	2.743258	7	1	1.951452	0	4	3	1	4	3	1	1	1	1	39	0	0	0.8416011	183.3465	-156.8571	137.0317	-161.0228
1	6.857424	Basic	2.829199	7	1	4.905972	39	7	0	0	7	0	0	1	1	1	38	0	0	1.410726	183.3465	-54.00001	162.3307	-55.07911
2	11.67544	Basic	2.686918	7	1	4.818018	38	4	2	0	4	2	0	1	1	1	38	0	0	1.349191	183.3465	-20.57143	139.5334	-19.10982
3	16.61955	Basic	2.649747	7	1	4.944113	38	0	3	1	0	3	1	1	1	1	39	0	0	0.9058143	183.3465	-90	181.3003	-88.79031
4	20.94987	Basic	2.686584	7	1	4.330315	38	5	3	1	5	3	1	1	1	1	38	0	0	1.159657	183.3465	118.2857	122.2623	113.1818
5	25.47213	Basic	2.683301	7	1	4.522261	38	2	0	0	2	0	0	1	1	1	39	0	0	0.7975596	183.3465	118.2857	155.7352	111.8388
6	30.52881	Basic	2.711288	7	1	5.056677	38	1	3	1	1	3	1	1	1	1	38	0	0	1.456181	183.3465	-105.4286	157.0159	-108.4665
7	35.02803	Basic	2.684234	7	1	4.499224	38	9	2	0	9	2	0	1	1	1	39	0	0	0.9784656	183.3465	-36	159.2083	-36.5552
8	39.32101	Basic	2.6938	7	1	4.29298	38	8	3	1	8	3	1	1	1	1	38	0	0	1.088495	183.3465	-87.42857	133.7868	-88.82847
9	44.53325	Basic	2.695128	7	1	5.212242	38	6	3	1	6	3	1	1	1	1	37	0	0	1.554074	183.3465	169.7143	198.3869	172.9534
10	49.31407	Basic	2.672912	7	1	4.780815	38	3	1	1	3	1	1	1	1	1	38	0	0	1.34865	183.3465	-87.42857	186.7005	-90.83883
11	53.66573	Basic	2.664072	7	1	4.351658	38	2	2	0	2	2	0	1	1	1	39	0	0	0.9792011	183.3465	-33.42858	174.6499	-32.67059
12	57.90189	Basic	2.672099	7	1	4.23616	38	2	3	1	2	3	1	1	1	1	39	0	0	0.9188564	183.3465	-84.85715	168.2792	-84.96573
