Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.488813	3	1	1	1	True	True	True	38	0	0.737395	0.05021135	1.45509	2.690814	171.8873	114	173.9449	114.9803
1	6.557302	3	49	49	1	True	True	True	35	38	0.1011191	0	2.604014	2.522455	171.8873	-126	160.1546	-118.7902
2	11.99277	3	28	28	1	True	True	True	37	36	0.05424536	0	1.526626	2.235224	171.8873	-54.00001	150.9699	-53.98729
3	17.82353	3	49	49	1	True	True	True	36	36	0	0	2.186251	2.319045	171.8873	-102	138.2041	-98.29939
4	23.38932	3	25	25	1	True	True	True	37	36	0.06128267	0	1.80192	2.278502	171.8873	-102	219.6277	-91.09513
5	28.79361	3	32	42	0	False	True	True	10	36	0.1098432	0	1.511691	2.29261	171.8874	18	178.4666	17.71579
6	36.06436	3	32	32	1	True	True	True	37	32	0	0	1.985917	1.9385	171.8873	-138	183.242	-140.6356
7	43.23768	3	35	35	1	True	True	True	35	32	0.05639046	0	2.862521	1.985418	171.8874	18	157.4929	13.38807
8	49.61668	3	55	55	1	True	True	True	36	33	0.05684562	0	2.052068	1.972358	171.8874	-18	198.5954	-13.52223
9	55.40283	3	37	37	1	True	True	True	37	33	0.05819095	0	1.61875	2.000686	171.8873	102	118.4804	103.3278
