Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.9565157	7	55	55	1	True	True	True	39	0	0	0.5481941	0.9585965	2.730464	171.8873	-33.42857	135.7612	-30.03328
1	6.834237	7	37	37	1	True	True	True	38	39	0.09606816	0.2809635	1.222953	2.770702	171.8873	100.2857	132.0292	91.82191
2	12.68018	7	49	49	1	True	True	True	38	38	0.09787574	0.5022075	1.136136	2.704612	171.8873	-177.4286	153.6443	176.5703
3	18.72151	7	27	27	1	True	True	True	39	38	0.2735089	0.4215308	0.9445212	2.697052	171.8873	-177.4286	162.2875	-178.7949
4	24.64154	7	28	28	1	True	True	True	38	38	0.0692074	0.3468016	1.175538	2.717224	171.8873	69.42857	150.3224	74.82381
5	30.5665	7	31	31	1	True	True	True	39	38	0.08160983	0.3443916	0.9700806	2.706225	171.8873	84.85715	173.8882	82.71404
6	36.05006	7	7	7	1	True	True	True	39	38	0.07169673	0.212422	0.8928794	2.716015	171.8873	131.1428	143.7771	129.1496
7	41.7929	7	21	21	1	True	True	True	38	38	0	0.2991901	1.062673	2.728521	171.8873	-2.57142	163.7723	1.377039
8	47.66372	7	49	49	1	True	True	True	39	38	0.5227553	0.4127554	0.7865683	2.727289	171.8873	79.71428	131.5959	76.37973
9	53.30671	7	32	32	1	True	True	True	38	38	0.07779215	0.4599276	1.049132	2.74167	171.8873	131.1428	157.3852	128.5703
10	59.21024	7	23	23	1	True	True	True	38	38	0.1618262	0.2746884	1.229892	2.740046	171.8874	-74.57143	133.3895	-73.31155
