	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	0.2193468	Basic	2.609002	6	1	0.2193468	0	1	0	0	1	0	0	1	1	1	39	0	0	0.6943999	171.8874	18	143.7397	19.52711
1	4.603855	Basic	2.9028	6	1	4.384508	39	2	1	1	2	1	1	1	1	1	38	0.166262	0	1.489629	171.8873	-90	134.2873	-71.52962
2	9.010566	Basic	2.703993	6	1	4.406711	38	1	0	0	1	0	0	1	1	1	39	0.4630055	0	0.8312886	171.8873	144	181.3308	146.7468
3	13.02386	Basic	2.747447	6	1	4.013294	38	6	2	0	6	2	0	1	1	1	39	0	0	0.688343	171.8873	30	161.1861	22.89247
4	17.66528	Basic	2.787042	6	1	4.641418	38	8	2	0	8	2	0	1	1	1	38	0	0	1.339795	171.8873	-168	173.1462	-166.5954
5	22.18239	Basic	2.745655	6	1	4.517117	38	2	3	1	2	3	1	1	1	1	38	0	0	1.186039	171.8873	114	135.4207	104.6022
6	26.45898	Basic	2.730875	6	1	4.276587	38	7	3	1	7	3	1	1	1	1	38	0.1236525	0	1.091981	171.8873	-6.000011	165.3944	-13.11042
7	31.46786	Basic	2.727037	6	1	5.008881	38	8	0	0	8	0	0	1	1	1	37	0	0	1.812355	171.8873	-150	190.5666	-161.7896
8	36.12918	Basic	2.679136	6	1	4.661316	38	7	3	1	7	3	1	1	1	1	39	0.5206986	0	0.9963965	171.8873	150	161.4988	149.4353
9	40.7423	Basic	2.68721	6	1	4.613121	38	9	3	1	9	3	1	1	1	1	38	0.2062228	0	1.06242	171.8873	-47.99999	210.0146	-58.01737
