Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.400304	6	22	22	1	True	True	True	39	0	0.3568679	0.7904944	0.8003585	2.814986	171.8874	162	172.0151	162.6981
1	6.565132	6	35	35	1	True	True	True	39	39	0.1639819	0.2887255	0.7247167	2.849821	171.8873	156	179.767	158.152
2	11.3381	6	17	17	1	True	True	True	39	39	0.04312904	0.406795	0.8413883	2.868731	171.8873	156	142.4584	155.9839
3	16.06172	6	32	32	1	True	True	True	39	39	0	0.2337152	0.7550932	2.855589	171.8873	24	145.6747	28.04213
4	21.2019	6	31	31	1	True	True	True	38	39	0.04649355	0.4231695	1.054739	2.859805	171.8873	-54.00001	155.6616	-44.11229
5	26.07691	6	12	12	1	True	True	True	39	38	0	0.3089864	0.9656246	2.83237	171.8873	54	162.8548	49.63898
6	31.30138	6	12	12	1	True	True	True	39	38	0.04948303	0.2172886	0.9062343	2.821507	171.8873	89.99999	184.961	81.3527
7	36.71748	6	55	55	1	True	True	True	38	38	0.2318827	0.2315708	1.132368	2.817989	171.8873	89.99999	159.4966	86.79403
8	42.05004	6	27	27	1	True	True	True	38	38	0.02671075	0.2651369	1.19029	2.801217	171.8873	-90	145.1374	-89.58557
9	47.18866	6	23	23	1	True	True	True	39	38	0.1190954	0.3558308	0.9058529	2.784955	171.8873	65.99999	162.161	62.64729
10	53.2222	6	42	42	1	True	True	True	37	38	0.08793461	0.4507818	1.770795	2.786167	171.8873	-138	148.0881	-139.6742
11	59.34577	6	49	49	1	True	True	True	38	38	0.1209942	0.3863266	1.421417	2.747843	171.8873	-65.99999	153.9025	-67.76331
