Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.7068456	7	2	2	1	True	True	True	38	0	0.5190837	0	1.255445	2.692676	171.8873	-90	169.7807	-88.76041
1	5.90024	7	7	7	1	True	True	True	39	38	0.09957319	0	0.9146851	2.622278	171.8873	-180	135.1209	-177.4379
2	11.29037	7	37	37	1	True	True	True	38	38	0.05521488	0	1.370091	2.707468	171.8874	-18	160.4465	-16.62746
3	16.82404	7	73	73	1	True	True	True	38	38	0.1536374	0	1.3155	2.659963	171.8873	-108	144.0736	-100.921
4	22.11307	7	25	25	1	True	True	True	38	38	0.05060966	0	1.012147	2.643035	171.8873	108	146.7611	108.3378
5	27.38487	7	57	57	1	True	True	True	38	38	0.05685983	0	1.056496	2.663213	171.8873	-144	155.9433	-143.2845
6	33.21201	7	63	63	1	True	True	True	37	38	0	0	1.727974	2.67297	171.8873	36	165.1037	40.29517
7	38.54762	7	61	61	1	True	True	True	38	38	0.05498356	0	1.147912	2.631976	171.8873	126	122.7032	118.393
8	43.56276	7	70	70	1	True	True	True	39	38	0.05512566	0	0.7218981	2.637485	171.8873	-71.99999	152.5374	-74.83998
9	49.57081	7	52	52	1	True	True	True	37	38	0.1158407	0	1.7818	2.665436	171.8873	0	167.9212	-0.8056685
10	55.97206	7	0	0	1	True	True	True	37	38	0.4528271	0	1.768932	2.634803	171.8873	144	162.1538	136.2468
