	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.606414	Basic	2.578471	5	1	3.606414	0	0	1	1	0	1	1	1	1	1	38	0	0	1.372381	171.8874	72.00002	157.3055	62.79361
1	9.373564	Basic	2.563809	5	1	5.767149	38	5	1	1	5	1	1	1	1	1	37	0.5005933	0	1.803643	171.8873	-71.99999	169.0511	-86.26283
2	14.03745	Basic	2.455994	5	1	4.663884	37	1	0	0	1	0	0	1	1	1	39	0.177618	0	0.9957737	171.8873	-36	157.1753	-43.57973
3	19.03386	Basic	2.5547	5	1	4.996413	38	1	2	0	1	2	0	1	1	1	37	0	0	1.741005	171.8873	54	166.1632	52.89484
4	23.78742	Basic	2.5109	5	1	4.753561	37	6	0	0	6	0	0	1	1	1	38	0	0	1.288861	171.8873	126	207.5202	118.2174
5	28.04087	Basic	2.529834	5	1	4.253452	37	3	3	1	3	3	1	1	1	1	39	0	0	0.9273897	171.8873	144	151.4571	137.3187
6	32.48949	Basic	2.572579	5	1	4.448612	38	8	3	1	8	3	1	1	1	1	38	0	0	1.275672	171.8873	54	168.2898	60.67632
7	36.61492	Basic	2.578234	5	1	4.125435	38	3	3	1	3	3	1	1	1	1	39	0	0	0.9768133	171.8873	162	159.8017	168.155
8	41.39734	Basic	2.601154	5	1	4.782417	38	7	1	1	7	1	1	1	1	1	38	0.381038	0	1.156429	171.8873	89.99999	146.2065	91.85093
