Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.823135	4	7	7	1	True	True	True	39	0	0.5467027	1.011368	0.8945761	3	171.8873	-90.00002	185.5295	-88.70357
1	6.58125	4	35	35	1	True	True	True	39	39	0.2151202	0.2485019	0.8946002	2.802712	171.8873	-180	151.7043	178.3153
2	11.05095	4	12	12	1	True	True	True	39	39	0.115639	0.2319328	0.7284	2.802706	171.8873	-180	156.3666	179.5193
3	16.06865	4	31	31	1	True	True	True	38	39	0.08281858	0.4528263	1.11079	2.830404	171.8873	-180	154.837	178.5436
4	20.70658	4	63	63	1	True	True	True	39	38	0.08283554	0.3005098	0.7497668	2.796454	171.8873	90.00002	174.7187	93.0987
5	25.32548	4	27	27	1	True	True	True	39	38	0.0331354	0.2322072	0.8639526	2.812187	171.8873	1.001791E-05	138.1782	2.938464
6	29.89517	4	43	43	1	True	True	True	39	38	0.08295792	0.1656656	0.7620668	2.813159	171.8873	90.00002	131.2166	86.1021
7	34.53143	4	21	21	1	True	True	True	39	38	0.1491036	0.231439	0.8410829	2.821132	171.8873	1.001791E-05	168.3959	4.378165
8	39.72437	4	55	55	1	True	True	True	39	38	0	0.8975434	0.9005159	2.822173	171.8873	-180	165.9802	177.3728
9	44.57775	4	42	42	1	True	True	True	39	38	0.04970014	0.2042885	0.9981975	2.81968	171.8873	-180	178.6177	173.1673
10	49.4072	4	1	1	1	True	True	True	39	38	0.05019595	0.2831891	0.9017298	2.812803	171.8873	-90	123.7469	-98.0442
11	54.11791	4	27	27	1	True	True	True	39	38	0.05304846	0.3070177	0.9445182	2.81156	171.8873	-90.00002	128.8153	-90.23338
12	59.01062	4	3	3	1	True	True	True	39	38	0.1228433	0.4554467	0.973924	2.808742	171.8873	-90	153.6545	-95.48671
