	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.619216	MultiSuits	2.586779	8	1	5.619216	0	9	1	1	9	1	1	1	1	1	37	0.1888069	0	1.607507	171.8873	0	198.5462	4.927107
1	11.78861	MultiSuits	2.446247	8	1	6.169397	37	0	2	0	0	2	0	1	1	1	37	0.35331	0	1.999318	171.8873	-126	159.0376	-142.9789
2	16.75373	MultiSuits	2.348294	8	1	4.965121	37	8	2	0	8	2	0	1	1	1	38	0	0	1.112934	171.8873	-180	189.0458	177.6935
3	22.42687	MultiSuits	2.463374	8	1	5.67314	37	5	0	0	5	0	0	1	1	1	36	0	0	2.127664	171.8874	63.00001	181.4647	59.39159
4	29.35344	MultiSuits	2.394072	8	1	6.926565	37	1	2	0	1	2	0	1	1	1	36	0.2755893	0	2.393786	171.8873	-108	174.4969	-104.0989
5	35.23807	MultiSuits	2.325879	8	1	5.884628	36	5	0	0	5	0	0	1	1	1	38	0.3922921	0	1.142574	171.8874	27	204.8609	30.90083
6	40.30588	MultiSuits	2.384685	8	1	5.06781	37	8	0	0	8	0	0	1	1	1	38	0.1816551	0	1.179858	171.8873	18.00002	173.5776	27.64963
