Choice	Time	Game Mode	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.4357104	CountSuits	7	7	7	1	True	True	True	39	0	0.5770985	0	0.9006051	2.453503	171.8873	-20.57143	157.6945	-21.7837
1	5.046917	CountSuits	7	35	35	1	True	True	True	38	39	0.09934185	0	1.243631	2.799697	171.8873	151.7143	125.5701	149.937
2	10.45803	CountSuits	7	13	13	1	True	True	True	37	38	0.1338265	0	1.812121	2.713941	171.8873	167.1429	163.7942	169.572
3	14.98712	CountSuits	7	3	3	1	True	True	True	39	38	0.1160523	0	0.8647924	2.590607	171.8873	167.1429	155.6548	165.4482
4	20.03127	CountSuits	7	3	3	1	True	True	True	38	38	0.08314306	0	1.302704	2.647357	171.8873	12.85713	165.6489	14.96064
5	25.329	CountSuits	7	43	43	1	True	True	True	37	38	0.09940108	0	1.636531	2.637615	171.8873	-71.99999	163.3776	-74.91441
6	30.40321	CountSuits	7	3	3	1	True	True	True	38	38	0.1360044	0	1.322431	2.603301	171.8873	-54.00001	158.029	-53.98662
7	34.82327	CountSuits	7	28	28	1	True	True	True	38	38	0.07139552	0	1.079314	2.601228	171.8873	-38.57143	148.4426	-37.31546
8	40.82001	CountSuits	7	35	35	1	True	True	True	36	38	0.07451212	0	2.115246	2.614867	171.8873	12.85713	147.9261	8.25944
9	46.19765	CountSuits	7	47	47	1	True	True	True	38	37	0.04995595	0	1.427164	2.567924	171.8873	12.85713	148.5436	10.89318
10	51.53394	CountSuits	7	12	12	1	True	True	True	37	37	0.09183598	0	1.549737	2.564773	171.8873	-141.4286	139.3439	-144.4247
11	56.18908	CountSuits	7	23	23	1	True	True	True	39	37	0.1046908	0	0.9816035	2.556624	171.8873	64.28572	136.8056	63.09098
