	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.188172	Basic	2.434351	7	1	4.188172	0	0	1	2	0	1	2	0	1	1	1	37	0.8947023	0	1.687747	189.0761	95.14285	169.2733	88.32622
1	10.90629	Basic	2.406126	7	1	6.718117	37	0	1	1	1	1	1	1	1	1	1	37	0.5306207	0	1.884317	189.0761	-77.14285	163.3484	-78.60658
2	17.0434	Basic	2.356984	7	1	6.137109	37	0	7	1	1	7	1	1	1	1	1	38	0.5353957	0	1.208828	189.0761	92.57142	145.7152	89.70064
3	23.5579	Basic	2.453185	7	1	6.514498	37	0	3	0	0	3	0	0	1	1	1	38	0.5124828	0	1.47138	189.0761	59.14287	157.1683	69.0108
4	30.73194	Basic	2.468466	7	1	7.174042	37	0	7	0	0	7	0	0	1	1	1	36	0.5207999	0	2.150095	189.0761	-164.5714	175.5768	-160.6447
5	36.90255	Basic	2.409763	7	1	6.170612	37	0.1197648	7	2	0	7	2	0	1	1	1	37	0.5320532	0	1.584926	189.0761	-95.14286	163.1173	-83.91647
6	43.98671	Basic	2.417726	7	1	7.084164	37	0	8	1	1	8	1	1	1	1	1	37	0.5298683	0	1.952604	189.0761	-180	189.3859	-173.3161
7	51.24474	Basic	2.39715	7	1	7.258022	37	0	4	1	1	4	1	1	1	1	1	35	0.533609	0	2.614748	189.0761	169.7143	181.5916	167.6673
8	57.70045	Basic	2.340335	7	1	6.455715	36	0	9	3	1	9	3	1	1	1	1	37	0.5467666	0	1.588663	189.0761	33.42857	180.9981	36.52543
