	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.348783	CountSuits	2.677554	6	1	2.348783	0	9	2	0	9	2	0	1	1	1	38	0	0	1.112514	183.3465	-174	163.7343	-176.8414
1	6.803651	CountSuits	2.693743	6	0	4.454867	38	9	3	1	8	3	1	0	1	1	10	0	0	1.32956	183.3465	6.000004	159.6046	4.81252
2	12.84044	CountSuits	2.193743	6	1	6.036786	24	1	3	1	1	3	1	1	1	1	38	0	0	1.201763	183.3465	-54.00001	172.7524	-43.78112
3	18.94246	CountSuits	1.761796	6	1	6.102026	28	6	0	0	6	0	0	1	1	1	38	0	0	1.007072	183.3465	-54.00001	215.6034	-52.67954
4	25.137	CountSuits	2.001477	6	1	6.19454	31	7	1	1	7	1	1	1	1	1	37	0	0	1.785892	183.3465	-168	168.7029	-171.148
5	30.5088	CountSuits	2.085056	6	1	5.371798	32	8	3	1	8	3	1	1	1	1	38	0	0	1.447919	183.3465	6.000004	159.9085	3.62519
6	35.69352	CountSuits	2.160783	6	1	5.184719	33	2	2	0	2	2	0	1	1	1	38	0	0	1.050922	183.3465	65.99999	163.3729	59.87465
7	40.96914	CountSuits	2.238634	6	1	5.27562	33	2	3	1	2	3	1	1	1	1	38	0	0	1.099229	183.3465	6.000004	176.4794	10.80506
8	46.19748	CountSuits	2.294968	6	1	5.228336	34	3	3	1	3	3	1	1	1	1	38	0	0	1.133108	183.3465	132	166.88	130.9475
9	51.23349	CountSuits	2.337384	6	1	5.036015	34	2	2	0	2	2	0	1	1	1	38	0	0	1.375532	183.3465	-114	116.7279	-108.8218
10	55.86053	CountSuits	2.360542	6	1	4.627045	35	7	3	1	7	3	1	1	1	1	38	0	0	1.197536	183.3465	-174	159.0166	-175.3672
11	60.43842	CountSuits	2.386734	6	1	4.577888	35	1	3	1	1	3	1	1	1	1	39	0	0	0.8320011	183.3465	-174	154.7028	-170.5377
