Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.543661	5	21	21	1	True	True	True	39	0	3.347544	0.9774421	0.7317837	2.910383	171.8873	126	138.7995	125.0719
1	6.029275	5	19	19	1	True	True	True	39	39	0.115969	0.1490992	0.5467213	2.884108	171.8874	72	123.6454	68.06308
2	11.00327	5	3	3	1	True	True	True	39	39	0.1325373	0.4446876	0.9613383	2.930374	171.8873	1.001791E-05	180.5661	-1.581895
3	16.06853	5	15	15	1	True	True	True	39	39	0.1326703	0.3644389	0.8957518	2.876693	171.8873	-108	165.5525	-107.1428
4	20.68663	5	11	11	1	True	True	True	39	39	0.08283713	0.2977899	0.7140534	2.858051	171.8873	-71.99999	178.5461	-76.22919
5	25.47474	5	17	17	1	True	True	True	39	39	0.1327011	0.2650635	0.7794033	2.865035	171.8873	-144	173.6598	-151.1892
6	30.03466	5	27	27	1	True	True	True	39	39	0.0165675	0.2513947	0.9486252	2.864246	171.8873	-71.99999	141.9153	-76.96569
7	35.13181	5	11	11	1	True	True	True	38	39	0.1182061	0.2484999	1.104543	2.851594	171.8873	54	175.1735	59.7868
8	39.86786	5	7	7	1	True	True	True	39	38	0.03313422	0.3692087	0.935763	2.832361	171.8873	1.001791E-05	167.9047	0.08952077
9	45.05262	5	49	49	1	True	True	True	38	38	0.1007867	0.2650662	1.244366	2.826779	171.8873	144	172.0463	139.1428
10	49.80709	5	19	19	1	True	True	True	38	38	0.05196486	0.2538343	1.006661	2.806883	171.8873	-180	175.0895	176.3058
11	54.67887	5	42	42	1	True	True	True	39	38	0.03643872	0.2701377	0.860406	2.801409	171.8873	54	175.8214	50.75269
12	59.19104	5	27	27	1	True	True	True	39	38	0.05730432	0.3977365	0.5809419	2.802941	171.8873	54	133.047	58.62935
