	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.250479	CountSuits	2.558573	3	1	2.250479	0	8	3	1	8	3	1	1	1	1	38	0.1007788	0	1.23232	183.3465	-150	181.0256	-150.8025
1	6.557967	CountSuits	2.63384	3	1	4.307487	38	9	3	1	9	3	1	1	1	1	38	0	0	1.36556	183.3465	-150	206.5343	-157.8467
2	10.89621	CountSuits	2.60053	3	1	4.338242	38	2	2	0	2	2	0	1	1	1	38	0	0	1.291615	183.3465	-29.99998	187.5648	-23.80145
3	15.58982	CountSuits	2.601751	3	1	4.693613	38	2	2	0	2	2	0	1	1	1	38	0	0	1.359938	183.3465	-150	180.7267	-144.7949
4	20.4426	CountSuits	2.593821	3	1	4.852778	38	7	3	1	7	3	1	1	1	1	37	0	0	1.660549	183.3465	-150	173.9867	-155.206
5	25.81557	CountSuits	2.559002	3	1	5.372965	37	8	1	1	8	1	1	1	1	1	36	0	0	2.142486	183.3465	-150	159.4427	-150.5353
6	30.25887	CountSuits	2.495628	3	1	4.4433	37	8	3	1	8	3	1	1	1	1	38	0	0	1.24455	183.3465	90	193.7477	89.83837
7	34.42691	CountSuits	2.514499	3	1	4.168049	37	7	2	0	7	2	0	1	1	1	39	0	0	0.9611963	183.3465	-150	152.411	-155.7348
8	38.71523	CountSuits	2.546362	3	1	4.288315	37	1	2	0	1	2	0	1	1	1	38	0	0	1.296403	183.3465	6.000004	170.8854	10.78859
9	43.33436	CountSuits	2.552521	3	1	4.619133	37	0	3	1	0	3	1	1	1	1	37	0	0	1.544823	183.3465	-150	185.9308	-157.432
10	47.65319	CountSuits	2.545028	3	1	4.318832	37	5	2	0	5	2	0	1	1	1	38	0	0	1.358203	183.3465	-47.99999	179.6288	-43.33526
11	51.47669	CountSuits	2.54738	3	1	3.823494	37	3	1	1	3	1	1	1	1	1	39	0	0	0.7138864	183.3465	126	112.5572	125.3255
12	55.91602	CountSuits	2.576186	3	1	4.439327	37	7	1	1	7	1	1	1	1	1	38	0	0	1.479133	183.3465	-150	151.1154	-151.5799
13	59.99203	CountSuits	2.571128	3	0	4.076012	37	8	0	0	7	0	0	0	1	1	10	0	0	1.122804	183.3465	72	130.2287	69.09203
