	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.959778	MultiSuits	2.596675	3	1	3.959778	0	7	2	0	7	2	0	1	1	1	36	0.366719	0	2.331258	171.8873	-90	162.1262	-92.96893
1	9.741868	MultiSuits	2.096675	3	1	5.78209	36	5	3	1	5	3	1	1	1	1	38	0.06647095	0	1.33862	171.8874	84	164.6901	80.46263
2	14.29153	MultiSuits	2.33253	3	1	4.549659	37	9	0	0	9	0	0	1	1	1	38	0.09981834	0	1.203846	171.8873	0	196.3662	2.067269
3	19.29637	MultiSuits	2.437713	3	1	5.004839	37	9	1	1	9	1	1	1	1	1	37	0.07987251	0	1.682261	171.8873	-60.00001	180.293	-53.58032
4	24.27001	MultiSuits	2.430502	3	1	4.973644	37	3	2	0	3	2	0	1	1	1	38	0.468881	0	1.35534	171.8873	144	143.9256	133.0047
5	29.0483	MultiSuits	2.458868	3	1	4.778288	37	4	2	0	4	2	0	1	1	1	37	0.0994066	0	1.569576	171.8873	-180	174.3301	-179.396
6	33.58703	MultiSuits	2.459925	3	1	4.538731	37	0	0	0	0	0	0	1	1	1	38	0.1339292	0	1.196667	171.8874	-96	175.2053	-87.25329
7	37.76849	MultiSuits	2.487317	3	1	4.181465	37	0	2	0	0	2	0	1	1	1	38	0.05748986	0	1.099284	171.8874	-156	184.9812	-147.0988
8	42.40824	MultiSuits	2.513947	3	1	4.639744	37	6	1	1	6	1	1	1	1	1	38	0.4223615	0	1.028936	171.8873	36	131.4095	29.02127
