Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.3814935	4	7	7	1	True	True	True	39	0	0.4794538	0	0.9106012	3	171.8873	-36	160.8313	-34.70107
1	4.299163	4	23	23	1	True	True	True	39	39	0.03344884	0	0.8836208	2.794699	171.8873	162	141.3224	165.7058
2	8.722755	4	43	43	1	True	True	True	38	39	0.04956672	0	1.374765	2.801445	171.8874	54	174.9809	48.95146
3	13.28239	4	35	35	1	True	True	True	38	38	0.03313698	0	1.424733	2.721836	171.8873	-54.00001	146.9691	-51.59576
4	17.38254	4	31	31	1	True	True	True	39	38	0	0	0.944455	2.675785	171.8873	-126	171.3786	-126.2208
5	21.59192	4	27	27	1	True	True	True	39	38	0.1159682	0	0.9637137	2.696182	171.8874	-18	136.1419	-18.53969
6	25.62189	4	47	47	1	True	True	True	39	38	0.05083783	0	0.8665258	2.708176	171.8874	-162	187.8558	-158.4512
7	29.68765	4	14	14	1	True	True	True	39	38	0.06793273	0	0.8958373	2.723685	171.8873	108	182.0323	106.5806
8	33.76124	4	55	55	1	True	True	True	39	38	0	0	0.9713899	2.733484	171.8873	-108	158.0914	-111.413
9	37.7304	4	84	84	1	True	True	True	39	38	0.06627396	0	0.7923952	2.736909	171.8874	72	181.0268	66.96496
10	42.31167	4	0	0	1	True	True	True	38	38	0.356387	0	1.128159	2.748598	171.8873	0	174.6937	5.95043
11	46.33337	4	31	31	1	True	True	True	39	38	0.01656671	0	0.9168796	2.7429	171.8873	-180	178.4086	-179.4102
12	50.43041	4	52	52	1	True	True	True	39	38	0.07489464	0	0.9026236	2.746955	171.8873	-144	170.6212	-147.7518
13	54.47393	4	62	62	1	True	True	True	39	38	0.04291548	0	0.8825805	2.750935	171.8873	36	189.2997	35.6946
14	58.9635	4	37	37	1	True	True	True	39	38	0.3906933	0	0.9589193	2.755061	171.8873	-71.99999	147.3059	-73.01731
