Choice	Time	Game Mode	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.582377	CountSuits	8	19	19	1	True	True	True	35	0	0.4323527	0	2.676121	2.573505	171.8873	-135	165.9744	-138.5244
1	7.214977	CountSuits	8	49	49	1	True	True	True	38	35	0.01723425	0	1.230261	2.073505	171.8873	135	124.9137	134.2338
2	12.5224	CountSuits	8	47	47	1	True	True	True	39	36	0	0	0.8449751	2.273405	171.8873	89.99999	145.5524	83.57993
3	18.0099	CountSuits	8	0	0	1	True	True	True	39	37	0.3977164	0	0.9593926	2.458107	171.8873	45	157.1376	41.00594
4	23.04763	CountSuits	8	55	55	1	True	True	True	38	37	0.06751863	0	1.266132	2.536156	171.8873	-135	127.4553	-142.6112
5	27.88172	CountSuits	8	2	2	1	True	True	True	39	37	0.03313422	0	0.9972941	2.552312	171.8873	-90	142.7448	-93.5829
6	32.79615	CountSuits	8	17	17	1	True	True	True	38	38	0.1190808	0	1.053486	2.585485	171.8874	63.00001	182.6438	61.70482
7	38.79028	CountSuits	8	3	3	1	True	True	True	36	38	0.136651	0	2.040183	2.605167	171.8873	-99.00002	164.9035	-101.006
8	43.99043	CountSuits	8	7	7	1	True	True	True	39	37	0.1492867	0	0.9551257	2.55826	171.8873	89.99999	152.6163	82.69173
9	51.39612	CountSuits	8	37	49	0	True	False	True	15	37	0.04970054	0	3.96385	2.582057	171.8873	54	135.2797	55.50864
10	58.50421	CountSuits	8	2	2	1	True	True	True	37	35	0.3379097	0	1.600158	2.205593	171.8873	-135	166.1584	-132.7605
