	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.241982	Memory	2.843585	6	1	3.241982	0	3	1	1	3	1	1	1	1	1	38	0	0.4320874	1.027937	183.3465	-77.99999	192.7492	-85.60753
1	8.87927	Memory	2.736032	6	1	5.637288	38	3	3	1	3	3	1	1	1	1	38	0	0.2818453	1.26492	183.3465	-18	165.9439	-18.34538
2	13.79341	Memory	2.676786	6	1	4.914143	38	8	0	0	8	0	0	1	1	1	38	0	0.3313378	1.045587	183.3465	-84.00001	163.7311	-80.77366
3	18.45964	Memory	2.693593	6	1	4.66623	38	8	3	1	8	3	1	1	1	1	39	0	0.265065	0.5167854	183.3465	162	209.2751	162.9138
4	23.59645	Memory	2.768096	6	1	5.13681	38	1	2	0	1	2	0	1	1	1	38	0	0.2485137	1.128968	183.3465	96.00001	137.7093	95.69927
5	28.61871	Memory	2.75158	6	1	5.022253	38	4	2	0	4	2	0	1	1	1	39	0	0.282411	0.8314567	183.3465	156	194.2623	154.949
6	33.8326	Memory	2.765362	6	1	5.213898	38	9	1	1	9	1	1	1	1	1	39	0	0.2153689	0.9443017	183.3465	-84.00001	166.6498	-86.99216
7	38.397	Memory	2.767146	6	1	4.564396	38	3	2	0	3	2	0	1	1	1	39	0	0.2156152	0.5997377	183.3465	156	187.5648	156.1986
8	43.49133	Memory	2.790019	6	1	5.094326	38	0	0	0	0	0	0	1	1	1	38	0	0.2653039	1.198349	183.3465	-144	159.6217	-155.1906
9	48.90068	Memory	2.774553	6	1	5.409359	38	1	2	0	1	2	0	1	1	1	38	0	0.1657564	1.178382	183.3465	150	161.4823	148.2209
10	53.7529	Memory	2.763179	6	1	4.852219	38	3	3	1	3	3	1	1	1	1	39	0	0.1491032	0.7295655	183.3465	-150	148.7881	-154.6588
11	59.27234	Memory	2.774273	6	1	5.51944	38	6	1	1	6	1	1	1	1	1	38	0	0.2316995	1.397641	183.3465	150	163.8826	153.3495
