Choice	Time	Game Mode	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.2993046	CountSuits	6	39	39	1	True	True	True	38	0	0.1159662	0	1.445902	3	171.8873	48.00001	138.4785	57.15379
1	4.723172	CountSuits	6	25	25	1	True	True	True	38	38	0.01656553	0	1.192657	2.527049	171.8873	-6.000011	153.4017	-2.842833
2	9.286107	CountSuits	6	22	22	1	True	True	True	38	38	0	0	1.027929	2.59036	171.8873	-36	133.8856	-33.40982
3	15.30008	CountSuits	6	37	37	1	True	True	True	35	38	0.06643739	0	2.661786	2.638919	171.8873	150	165.8367	151.9755
4	23.27751	CountSuits	6	49	49	1	True	True	True	31	37	0.1496061	0	4.517713	2.458966	171.8874	12	173.0173	17.19854
5	28.14212	CountSuits	6	14	14	1	True	True	True	38	36	0.03551499	0	1.080147	2.165401	171.8873	30	192.7686	26.42556
6	33.41613	CountSuits	6	49	49	1	True	True	True	38	36	0.09091344	0	1.355419	2.256155	171.8873	-150	123.4345	-151.691
7	39.03924	CountSuits	6	22	22	1	True	True	True	37	36	0.104137	0	1.535342	2.301318	171.8873	108	128.1612	103.4957
8	44.4239	CountSuits	6	42	42	1	True	True	True	38	36	0.1066985	0	1.454361	2.323944	171.8873	-132	182.6016	-124.8774
9	49.20745	CountSuits	6	28	28	1	True	True	True	38	36	0.07318377	0	1.235195	2.346041	171.8873	30	167.6093	31.62513
10	53.87911	CountSuits	6	22	22	1	True	True	True	39	36	0	0	0.8960812	2.374677	171.8873	48.00001	156.6279	48.19113
11	59.05954	CountSuits	6	13	13	1	True	True	True	38	37	0.144419	0	1.235478	2.413521	171.8874	12	157.6161	13.57363
