	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.3194	MultiSuits	2.538567	4	1	2.3194	0	5	0	0	5	0	0	1	1	1	38	0.4106131	0	1.416968	171.8873	-150	184.1929	-148.0984
1	6.534966	MultiSuits	2.541516	4	1	4.215567	38	8	0	0	8	0	0	1	1	1	38	0.1186581	0	1.078573	171.8873	-90	173.4266	-89.30659
2	11.2441	MultiSuits	2.626115	4	1	4.709137	38	6	3	1	6	3	1	1	1	1	38	0.2498302	0	1.180597	171.8874	162	191.0478	155.7579
3	15.9013	MultiSuits	2.63731	4	1	4.657199	38	0	0	0	0	0	0	1	1	1	38	0.180193	0	1.298956	171.8873	36	151.1412	25.40772
4	20.39456	MultiSuits	2.628113	4	1	4.493259	38	8	3	1	8	3	1	1	1	1	38	0.05009766	0	1.234031	171.8873	126	172.7586	121.9039
5	24.99652	MultiSuits	2.629087	4	1	4.601961	38	4	2	0	4	2	0	1	1	1	38	0	0	1.375557	171.8873	-90	180.8054	-91.16405
6	29.39762	MultiSuits	2.617943	4	1	4.401098	38	6	1	1	6	1	1	1	1	1	39	0.1692148	0	0.9949953	171.8873	144	212.1237	138.7607
7	34.61988	MultiSuits	2.637166	4	1	5.222256	38	2	1	1	2	1	1	1	1	1	36	0.1940923	0	2.121143	171.8873	-108	141.7964	-98.08512
8	38.22805	MultiSuits	2.581199	4	1	3.60817	37	2	0	0	2	0	0	1	1	1	39	0	0	0.5787234	171.8873	90	188.3425	87.12563
9	42.80535	MultiSuits	2.623359	4	0	4.577305	38	4	0	0	4	2	0	1	0	1	15	0.3558143	0	1.02801	171.8873	0	185.9135	-6.563407
