Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.479932	8	19	19	1	True	True	True	39	0	0.5047919	0.5066236	0.769193	2.730501	171.8874	63	154.4172	64.00092
1	7.024933	8	14	14	1	True	True	True	39	39	0.08227894	0.3645388	0.7408022	2.865403	171.8874	63	129.2999	62.96702
2	13.31307	8	35	35	1	True	True	True	38	39	0.0861053	0.7075084	1.460573	2.872501	171.8874	162	188.1458	155.0072
3	19.44968	8	17	17	1	True	True	True	39	38	0.3000672	0.4273049	0.8018417	2.754905	171.8874	63	161.7411	65.0561
4	25.23759	8	19	19	1	True	True	True	39	38	0.1869839	0.4368225	0.8369354	2.778449	171.8873	99.00002	148.0812	97.74229
5	31.12622	8	63	63	1	True	True	True	38	38	0.04606563	0.5821167	1.120875	2.789066	171.8874	-18	191.6492	-15.48213
6	37.28312	8	47	47	1	True	True	True	38	38	0.1867925	0.3182746	1.013045	2.772482	171.8873	36	147.1096	28.66753
7	43.56244	8	39	39	1	True	True	True	38	38	0.04743069	0.3265483	1.140253	2.768338	171.8873	144	164.5475	141.6683
8	50.03754	8	37	37	1	True	True	True	37	38	0.0494321	0.4871775	1.726998	2.75728	171.8873	-99.00002	149.8813	-100.8969
9	56.44855	8	37	37	1	True	True	True	37	38	0	0.3392669	1.57319	2.716082	171.8873	-171	139.6232	-171.2457
