Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.482306	8	32	32	1	True	True	True	38	0	0.4934691	0	1.093149	2.658038	171.8873	-171	163.3688	-169.3577
1	6.418554	8	27	27	1	True	True	True	39	38	0.114703	0	0.9970334	2.703426	171.8873	-180	144.4419	177.3974
2	10.73994	8	13	13	1	True	True	True	39	38	0.08271199	0	0.8337775	2.727455	171.8873	-62.99999	140.5988	-64.82164
3	15.52097	8	11	11	1	True	True	True	39	38	0.08526646	0	0.8597038	2.762673	171.8873	108	155.7571	112.3749
4	20.10403	8	51	51	1	True	True	True	38	38	0	0	1.29619	2.777042	171.8873	-44.99998	126.7437	-43.57418
5	25.73068	8	47	47	1	True	True	True	37	38	0	0	1.726823	2.742015	171.8873	-8.999993	157.0799	-15.01159
6	30.28227	8	47	47	1	True	True	True	39	38	0.09624185	0	0.8586363	2.682777	171.8874	72	154.1198	72.76818
7	35.63432	8	73	73	1	True	True	True	38	38	0.2936079	0	1.373312	2.702478	171.8873	9.000013	176.9764	10.16051
8	40.79645	8	55	55	1	True	True	True	38	38	0.08079505	0	1.354553	2.685086	171.8873	1.001791E-05	185.9978	2.991545
9	45.81593	8	51	51	1	True	True	True	38	38	0.02898652	0	1.0619	2.672601	171.8874	54	170.7341	52.0555
10	50.73093	8	51	51	1	True	True	True	38	38	0.05760355	0	1.00963	2.677246	171.8873	-144	142.2588	-142.8763
11	55.4767	8	19	19	1	True	True	True	38	38	0	0	1.384263	2.683422	171.8874	-53.99998	147.2386	-44.20528
12	59.92149	8	31	31	1	True	True	True	39	38	0.09134017	0	0.910482	2.67296	171.8873	45	163.7298	48.4427
