Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.8770333	4	13	13	1	True	True	True	37	0	0.5781254	0	1.58421	2.042782	171.8873	54	144.8637	52.7354
1	6.240385	4	55	55	1	True	True	True	38	37	0.1826231	0	1.431513	2.457895	171.8873	144	120.2314	143.2807
2	11.58491	4	22	22	1	True	True	True	38	37	0.5392348	0	1.235712	2.496069	171.8873	144	159.9404	145.7625
3	17.43647	4	42	42	1	True	True	True	37	37	0.1875208	0	1.847828	2.541428	171.8873	-36	187.6036	-39.7235
4	22.60098	4	22	22	1	True	True	True	38	37	0.06486706	0	1.435571	2.487592	171.8873	126	141.3876	124.3388
5	27.60925	4	63	49	0	False	True	True	10	37	0.128298	0	1.333974	2.496516	171.8873	126	164.4061	132.3475
6	34.40615	4	7	7	1	True	True	True	38	33	0.1284255	0	1.380565	2.092444	171.8873	144	149.8519	139.7578
7	40.40734	4	55	55	1	True	True	True	37	33	0.0678443	0	1.691846	2.158202	171.8873	-36	129.9451	-35.71257
8	46.12573	4	35	35	1	True	True	True	38	34	0	0	1.334126	2.190715	171.8873	126	109.5546	129.2604
9	52.13049	4	63	63	1	True	True	True	37	34	0	0	1.837535	2.233316	171.8873	144	123.2083	141.6644
10	57.31646	4	32	32	1	True	True	True	38	34	0	0	1.231041	2.24492	171.8873	126	146.1878	124.0897
