	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.116049	Basic	2.681213	8	1	2.116049	0	8	3	1	8	3	1	1	1	1	39	0	0	0.832089	183.3465	45	163.6765	41.00595
1	6.548073	Basic	2.833956	8	1	4.432024	39	6	0	0	6	0	0	1	1	1	38	0	0	1.165643	183.3465	-126	172.773	-132.1152
2	11.2508	Basic	2.750567	8	1	4.702723	38	6	1	1	6	1	1	1	1	1	39	0	0	0.8109828	183.3465	-126	130.3565	-131.1746
3	15.79153	Basic	2.781881	8	1	4.540733	38	3	1	1	3	1	1	1	1	1	38	0	0	1.171167	183.3465	-18	172.2926	-28.51617
4	20.13207	Basic	2.752515	8	1	4.340544	38	7	1	1	7	1	1	1	1	1	39	0	0	0.9478809	183.3465	72.00002	123.6636	75.13389
5	24.69007	Basic	2.757224	8	1	4.558001	38	7	3	1	7	3	1	1	1	1	38	0	0	1.064028	183.3465	-36	139.6174	-30.48261
6	28.91926	Basic	2.750684	8	1	4.229185	38	2	1	1	2	1	1	1	1	1	39	0	0	0.8637347	183.3465	117	152.1437	108.0115
7	33.55639	Basic	2.76032	8	1	4.637131	38	5	1	1	5	1	1	1	1	1	39	0	0	0.734404	183.3465	72.00002	159.05	69.47852
8	38.55578	Basic	2.77563	8	1	4.99939	38	5	2	0	5	2	0	1	1	1	38	0	0	1.099793	183.3465	-62.99999	172.0757	-62.98734
9	43.61646	Basic	2.767238	8	1	5.060684	38	7	3	1	7	3	1	1	1	1	38	0	0	1.348178	183.3465	-171	156.4378	-174.6878
10	47.91581	Basic	2.748105	8	1	4.299351	38	6	0	0	6	0	0	1	1	1	39	0	0	0.9950085	183.3465	117	135.1627	110.5967
11	52.44772	Basic	2.748504	8	1	4.53191	38	6	2	0	6	2	0	1	1	1	39	0	0	0.8510512	183.3465	-81	174.62	-79.90371
12	57.27061	Basic	2.754835	8	1	4.822887	38	6	0	0	6	0	0	1	1	1	39	0	0	0.993766	183.3465	117	203.2968	114.1189
13	61.9436	Basic	2.754703	8	1	4.672985	38	9	2	0	9	2	0	1	1	1	39	0	0	0.7620661	183.3465	72.00002	149.6335	70.14205
