	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.605796	Memory	2.391737	6	1	5.605796	0	0	9	1	1	9	1	1	1	1	1	37	0.5308626	0.531422	1.821112	189.0761	162	205.1144	166.7447
1	16.1062	Memory	2.339444	6	1	10.5004	37	0	6	2	0	6	2	0	1	1	1	39	2.947891	1.416864	0.901028	189.0761	-120	166.5112	-121.6828
2	26.77099	Memory	2.569465	6	1	10.66479	38	0	9	2	0	9	2	0	1	1	1	36	3.128279	0.497	2.455788	189.0761	42	158.2914	48.85653
3	34.99384	Memory	2.387012	6	1	8.222845	37	0	7	2	0	7	2	0	1	1	1	35	0.5316128	0.5301335	2.576062	189.0761	42	168.2359	43.6485
4	42.96422	Memory	2.280751	6	1	7.970387	36	0	0	2	0	0	2	0	1	1	1	37	0.5634004	0.5635102	1.710309	189.0761	-18	187.3862	-21.93289
5	51.50621	Memory	2.30357	6	1	8.541988	36	0	5	1	1	5	1	1	1	1	1	36	0.5467011	0.5467761	2.281708	189.0761	18	180.307	9.09274
6	59.6072	Memory	2.271166	6	1	8.100986	36	0	4	2	0	4	2	0	1	1	1	37	0.559199	0.5632669	1.843821	189.0761	-77.99999	158.897	-75.86816
