Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.5296662	7	2	2	1	True	True	True	38	0	0.5465232	0	1.259069	3	171.8874	-48.85715	175.6256	-48.45176
1	5.723938	7	35	35	1	True	True	True	38	38	0.1823795	0	1.225931	2.620465	171.8873	-95.14286	157.1665	-80.58485
2	10.45177	7	7	7	1	True	True	True	38	38	0.1159706	0	1.408165	2.62875	171.8873	156.8571	135.3101	153.1368
3	14.70713	7	7	7	1	True	True	True	38	38	0	0	1.011618	2.601139	171.8874	-172.2857	134.9892	-170.9405
4	19.12402	7	15	15	1	True	True	True	39	38	0.01656869	0	0.9104701	2.636902	171.8873	-30.85715	144.389	-30.9459
5	24.41529	7	37	37	1	True	True	True	38	38	0.08283594	0	1.476857	2.668475	171.8873	-28.28572	156.9123	-23.13569
6	29.1746	7	43	43	1	True	True	True	39	38	0.09984872	0	0.8980058	2.642324	171.8873	-64.28571	143.6018	-60.20318
7	35.30988	7	21	21	1	True	True	True	36	38	0.2485039	0	2.193704	2.664992	171.8873	174.8571	155.7235	173.7131
8	39.7411	7	19	19	1	True	True	True	39	38	0.1865166	0	0.9870065	2.601011	171.8873	23.14285	149.9236	24.50204
9	44.27624	7	42	42	1	True	True	True	39	38	0.09940107	0	0.9179812	2.618287	171.8873	-64.28571	158.7789	-60.9362
10	49.1739	7	7	7	1	True	True	True	38	38	0.1186324	0	1.083467	2.63556	171.8873	-46.28572	146.4004	-43.91086
11	53.31622	7	42	42	1	True	True	True	39	38	0.191764	0	0.7250481	2.642169	171.8873	38.57143	151.4919	36.19516
12	58.03429	7	51	51	1	True	True	True	38	38	0.1441758	0	1.293694	2.662611	171.8873	23.14285	182.5828	15.0746
