	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.566571	CountSuits	2.250445	5	1	2.566571	0	8	1	1	8	1	1	1	1	1	37	0.3260205	0	1.766305	171.8874	72.00002	165.9528	73.65646
1	7.837103	CountSuits	2.366848	5	1	5.270533	37	3	2	0	3	2	0	1	1	1	36	0	0	2.060631	171.8873	-90	188.643	-84.09113
2	14.59558	CountSuits	2.293266	5	1	6.758476	36	6	3	1	6	3	1	1	1	1	35	0.1451454	0	2.706224	171.8873	-144	221.3129	-138.3157
3	20.53889	CountSuits	2.16114	5	1	5.943308	36	5	1	1	5	1	1	1	1	1	36	0	0	2.204057	171.8874	-53.99998	204.1698	-64.25811
4	26.23494	CountSuits	2.157848	5	1	5.696049	36	4	1	1	4	1	1	1	1	1	37	0.03313303	0	1.651994	171.8873	36	173.2121	36.31449
5	32.64906	CountSuits	2.211079	5	1	6.414127	36	6	3	1	6	3	1	1	1	1	36	0.08231605	0	2.46204	171.8873	144	121.679	143.3278
6	38.02675	CountSuits	2.179062	5	1	5.377686	36	4	0	0	4	0	0	1	1	1	38	0.08494551	0	1.216258	171.8873	36	151.426	40.56897
