Choice	Time	Game Mode	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.062577	CountSuits	3	47	63	0	True	False	True	15	0	0.6236334	0	4.060766	2.5	171.8873	30	196.2392	19.13808
1	8.535782	CountSuits	3	27	27	1	True	True	True	35	15	0.4980124	0	2.516139	2	171.8873	96.00001	206.0123	86.34622
2	14.96416	CountSuits	3	19	19	1	True	True	True	38	25	0.08530632	0	1.467109	1.5	171.8873	30	174.5422	35.14724
3	22.57917	CountSuits	3	47	47	1	True	True	True	37	29	0.01656474	0	1.528122	1.272887	171.8873	48.00001	176.0609	44.33591
4	29.835	CountSuits	3	55	55	1	True	True	True	35	31	0	0	2.558675	1.540112	171.8873	96.00001	140.4057	88.50101
5	36.5461	CountSuits	3	19	19	1	True	True	True	37	32	0.1916054	0	1.766831	1.629535	171.8873	-23.99999	218.0796	-26.0714
6	43.10078	CountSuits	4	0	0	1	True	True	True	36	32	0	0	2.081005	1.743219	171.8874	-77.99999	139.4859	-88.7054
7	49.3414	CountSuits	4	2	2	1	True	True	True	37	33	0.1001061	0	1.675759	1.80743	171.8873	-144	199.0752	-153.0969
8	55.67086	CountSuits	4	15	15	1	True	True	True	38	33	0.426213	0	1.475108	1.878275	171.8873	36	150.3224	31.22099
9	61.01211	CountSuits	4	25	25	1	True	True	True	38	34	0.1233217	0	1.199531	1.944222	171.8873	-18	200.3215	-25.35688
10	67.81447	CountSuits	4	31	31	1	True	True	True	35	34	0.08339886	0	2.571127	2.010193	171.8873	54	162.6568	55.18211
11	73.49457	CountSuits	4	17	17	1	True	True	True	37	34	0.1457928	0	1.624365	2.008258	171.8873	-126	169.5089	-129.1584
12	78.854	CountSuits	4	31	31	1	True	True	True	38	34	0.1678296	0	1.474607	2.042466	171.8873	-18	143.5231	-27.78294
13	85.03553	CountSuits	5	31	31	1	True	True	True	37	35	0.3250695	0	1.746216	2.076954	171.8873	144	129.1429	138.1008
14	93.43372	CountSuits	5	43	43	1	True	True	True	32	35	0.4375887	0	4.012517	2.097731	171.8873	-126	203.4913	-117.6553
15	99.55287	CountSuits	5	11	11	1	True	True	True	37	35	0	0	1.826209	2.045311	171.8874	-53.99998	184.9521	-48.62294
16	106.0904	CountSuits	5	42	42	1	True	True	True	36	35	0.4740014	0	2.17694	2.062966	171.8873	-36	124.1523	-39.89937
17	112.3432	CountSuits	5	35	35	1	True	True	True	36	35	0.07064115	0	2.187191	2.068899	171.8873	90.00002	167.0826	85.6772
18	117.5435	CountSuits	5	3	3	1	True	True	True	38	35	0.2240049	0	1.069697	2.073889	171.8873	108	174.5371	96.21648
19	124.1494	CountSuits	6	27	27	1	True	True	True	37	35	0.5924718	0	1.827821	2.106201	171.8873	-120	142.2234	-128.0326
20	131.6584	CountSuits	6	15	19	0	True	False	True	15	35	0.137643	0	3.387664	2.117414	171.8873	-144	172.3429	-147.4954
21	139.3028	CountSuits	6	7	7	1	True	True	True	36	34	0.1045878	0	2.001102	1.987602	171.8874	-77.99999	124.47	-78.80859
22	145.6161	CountSuits	6	21	21	1	True	True	True	37	34	0.2401879	0	1.904465	1.999287	171.8873	120	164.5753	109.9675
23	151.8512	CountSuits	6	2	2	1	True	True	True	37	34	0.1235096	0	1.674597	2.011892	171.8873	1.001791E-05	136.107	18.32878
24	158.3915	CountSuits	6	31	43	0	True	False	True	15	34	0.02871888	0	1.995331	2.027866	171.8873	162	191.8265	159.7558
25	166.707	CountSuits	7	19	19	1	True	True	True	36	33	0.0301471	0	2.478061	1.948164	171.8873	25.71428	174.6959	19.93165
26	174.672	CountSuits	7	35	35	1	True	True	True	36	34	0.7482221	0	2.371572	1.951479	171.8873	128.5714	168.1742	131.6484
27	181.8402	CountSuits	7	2	2	1	True	True	True	39	34	1.508096	0	0.9087219	1.956238	171.8873	-25.71429	125.9391	-30.9844
28	187.5605	CountSuits	7	7	7	1	True	True	True	38	34	0.1088081	0	1.089653	1.983941	171.8873	-25.71429	151.7282	-24.43574
29	196.5468	CountSuits	7	37	37	1	True	True	True	33	34	0.1460146	0	3.805228	2.007087	171.8873	-25.71429	176.1359	-23.43391
30	202.2165	CountSuits	8	12	12	1	True	True	True	38	34	0.04363867	0	1.201913	1.988068	171.8873	128.5714	211.7049	121.3656
31	209.0104	CountSuits	8	7	7	1	True	True	True	37	34	0.1513853	0	1.827622	2.008016	171.8873	45	184.7488	51.74681
32	216.8423	CountSuits	8	28	28	1	True	True	True	36	34	0.08203182	0	2.471021	2.01794	171.8873	-135	140.016	-125.7748
33	223.9238	CountSuits	8	55	55	1	True	True	True	37	34	0.3938166	0	1.900777	2.01842	171.8873	1.001791E-05	170.4758	-3.972495
34	232.2336	CountSuits	8	25	25	1	True	True	True	34	34	0.4418651	0	3.113361	2.026485	171.8873	90.00002	156.6489	99.44655
35	239.071	CountSuits	8	14	14	1	True	True	True	37	34	0.1192202	0	1.869693	2.018262	171.8873	-45.00001	155.7662	-45.20486
