	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.689834	Memory	1.685574	8	1	5.689834	0	0	1	0	0	1	0	0	1	1	1	38	0.7470556	0.7454987	1.134312	189.0761	-108	128.2953	-108.6653
1	14.23537	Memory	2.185574	8	1	8.545538	38	0	0	2	0	0	2	0	1	1	1	37	0.5828891	0.580026	1.701096	189.0761	153	195.0012	161.4494
2	21.37966	Memory	2.541148	8	1	7.144284	37	0	0	1	1	0	1	1	1	1	1	38	0.4978535	0.4970001	1.408575	189.0761	-126	152.4881	-133.8154
3	29.05633	Memory	2.54267	8	1	7.676676	37	0	0	2	0	0	2	0	1	1	1	38	0.5008857	0.496646	1.466348	189.0761	162	183.5741	168.4643
4	38.57299	Memory	2.536209	8	1	9.516663	37	0	5	3	1	5	3	1	1	1	1	37	2.058533	0.4969984	1.749809	189.0761	99.00001	155.1772	108.1559
5	46.11427	Memory	2.503986	8	1	7.541271	37	0	1	2	0	1	2	0	1	1	1	37	0.5135683	0.5135415	1.812255	189.0761	0	185.6721	0.7851967
6	53.85317	Memory	2.4773	8	1	7.738907	37	0	0	1	1	0	1	1	1	1	1	37	0.5183895	0.5092359	1.672042	189.0761	-90	157.9731	-95.79986
7	61.88109	Memory	2.468255	8	1	8.02792	37	0	1	3	1	1	3	1	1	1	1	37	0.5151244	0.5137536	1.688212	189.0761	90	153.4623	85.08168
