	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.714887	MultiSuits	2.55819	6	1	3.714887	0	0	6	3	1	6	3	1	1	1	1	38	0	0	1.313993	183.3465	72.00002	129.9389	77.71875
1	10.5509	MultiSuits	2.593003	6	1	6.836014	38	0	5	1	1	5	1	1	1	1	1	37	0	0	1.568808	183.3465	-6.000011	156.756	-4.773095
2	17.88172	MultiSuits	2.5293	6	1	7.330815	37	0.1303314	5	0	0	5	0	0	1	1	1	35	0	0	2.825594	183.3465	-132	188.9025	-132.9919
3	25.93497	MultiSuits	2.298601	6	1	8.053259	36	0	5	2	0	5	2	0	1	1	1	38	0	0	1.435659	183.3465	89.99999	138.9623	94.58624
4	31.39517	MultiSuits	2.356993	6	1	5.460196	37	0.3194068	5	0	0	5	0	0	1	1	1	39	0	0	0.9401217	183.3465	12	170.6696	0.05543153
5	36.74433	MultiSuits	2.441582	6	1	5.349157	37	0	8	1	1	8	1	1	1	1	1	38	0	0	1.002063	183.3465	132	155.5301	129.3241
6	42.02888	MultiSuits	2.492813	6	1	5.28455	37	0	9	3	1	9	3	1	1	1	1	38	0	0	1.027138	183.3465	-132	177.5023	-137.6149
7	47.5739	MultiSuits	2.527616	6	1	5.545021	37	0	7	0	0	7	0	0	1	1	1	38	0	0	1.133581	183.3465	108	133.3093	105.9449
8	53.2661	MultiSuits	2.547065	6	1	5.692204	37	0	0	3	1	0	3	1	1	1	1	38	0	0	1.019054	183.3465	168	187.7478	174.0576
9	58.65577	MultiSuits	2.568555	6	1	5.389664	37	0	0	2	0	0	2	0	1	1	1	38	0	0	1.129879	183.3465	168	185.6546	174.9447
10	65.01636	MultiSuits	2.580205	6	1	6.360592	37	0	6	2	0	6	2	0	1	1	1	37	0	0	1.752023	183.3465	108	145.5026	107.9529
11	70.81254	MultiSuits	2.561459	6	1	5.796181	37	0	2	0	0	2	0	0	1	1	1	38	0	0	1.158992	183.3465	168	185.3497	173.5824
12	76.20835	MultiSuits	2.570546	6	1	5.395813	37	0	4	0	0	4	0	0	1	1	1	39	0	0	0.9719368	183.3465	-168	194.6221	-168.6323
