	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.384241	Memory	2.755682	7	1	4.384241	0	4	2	0	4	2	0	1	1	1	38	0	0.9328585	1.18347	183.3465	-136.2857	166.8271	-136.6593
1	9.881858	Memory	2.658265	7	1	5.497617	38	7	0	0	7	0	0	1	1	1	38	0	0.5371481	1.09688	183.3465	-115.7143	155.3123	-119.7699
2	15.10967	Memory	2.679913	7	1	5.227809	38	6	3	1	6	3	1	1	1	1	39	0	0.198934	0.6626477	183.3465	172.2857	182.7117	170.7913
3	20.14578	Memory	2.759501	7	1	5.036118	38	1	3	1	1	3	1	1	1	1	39	0	0.204157	0.6876222	183.3465	172.2857	197.7961	174.2106
4	25.59653	Memory	2.796173	7	1	5.45075	38	2	2	0	2	2	0	1	1	1	38	0	0.2211963	1.446164	183.3465	18	187.2188	3.263328
5	30.79189	Memory	2.742321	7	1	5.19536	38	2	0	0	2	0	0	1	1	1	38	0	0.3861982	1.090658	183.3465	38.57143	120.8906	31.20833
6	36.1344	Memory	2.736047	7	1	5.342508	38	8	3	1	8	3	1	1	1	1	38	0	0.1491012	1.061555	183.3465	38.57143	148.0848	37.1237
7	41.5215	Memory	2.733643	7	1	5.387096	38	2	1	1	2	1	1	1	1	1	38	0	0.3479026	1.133381	183.3465	-115.7143	185.6601	-118.1122
8	46.69969	Memory	2.727351	7	1	5.178188	38	0	1	1	0	1	1	1	1	1	38	0	0.2516702	1.130904	183.3465	-64.28571	149.6383	-61.89058
9	52.24953	Memory	2.722595	7	1	5.549847	38	9	2	0	9	2	0	1	1	1	39	0	0.3810309	0.8614657	183.3465	38.57143	189.3076	26.12119
10	57.687	Memory	2.732263	7	1	5.437466	38	4	2	0	4	2	0	1	1	1	38	0	0.2818781	1.321084	183.3465	-12.85714	186.3225	-8.688664
11	63.06156	Memory	2.71928	7	1	5.374557	38	5	2	0	5	2	0	1	1	1	38	0	0.2814143	1.313582	183.3465	-167.1429	173.1543	-173.9295
