Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.184248	6	42	42	1	True	True	True	38	0	0.8219998	0	1.152854	2.758801	171.8873	-36	162.8573	-34.43246
1	6.219603	6	77	77	1	True	True	True	38	38	0.1841808	0	1.06671	2.673573	171.8873	144	158.2089	139.7804
2	11.15655	6	2	2	1	True	True	True	38	38	0	0	1.197245	2.695109	171.8873	-71.99999	147.5114	-69.599
3	16.30544	6	31	31	1	True	True	True	38	38	0.1239411	0	1.236211	2.680532	171.8873	0	171.1994	2.371327
4	21.88316	6	25	25	1	True	True	True	37	38	0.1601868	0	1.6761	2.668372	171.8874	-162	174.7195	-163.3337
5	26.53885	6	31	31	1	True	True	True	39	37	0.1262216	0	0.667286	2.617088	171.8873	-108	141.4526	-105.7118
6	31.69723	6	12	12	1	True	True	True	38	38	0.1273964	0	1.20256	2.666966	171.8873	108	184.2771	104.1747
7	36.25422	6	32	32	1	True	True	True	39	38	0.04356051	0	0.6736207	2.66436	171.8873	-126	161.6049	-130.9847
8	41.21634	6	7	7	1	True	True	True	39	38	0.2617673	0	0.9466124	2.695463	171.8873	162	176.4058	159.5437
9	46.15264	6	57	57	1	True	True	True	38	38	0.04497452	0	1.041777	2.704489	171.8874	-18	138.9778	-19.29005
10	51.44818	6	22	22	1	True	True	True	38	38	0.04970409	0	1.422807	2.706951	171.8874	72	134.8186	73.71749
11	56.4814	6	12	12	1	True	True	True	38	38	0.09194769	0	1.091986	2.691646	171.8873	108	139.6153	97.99306
