	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.847535	Memory	2.600102	4	1	4.847535	0	0	7	0	0	7	0	0	1	1	1	37	0	0.4969825	1.666434	183.3465	-90	145.5055	-78.37285
1	11.80172	Memory	2.416783	4	1	6.954185	37	0	6	2	0	6	2	0	1	1	1	38	0	0.5301304	1.369334	183.3465	-90	155.0769	-74.91759
2	18.27552	Memory	2.491058	4	1	6.473803	37	0	3	0	0	3	0	0	1	1	1	38	0	0.5172279	1.241619	183.3465	72.00002	144.1479	83.72379
3	24.6906	Memory	2.537102	4	1	6.415079	37	0	6	2	0	6	2	0	1	1	1	39	0	0.4984221	0.9816103	183.3465	89.99999	134.6076	88.68041
4	31.77031	Memory	2.592625	4	1	7.079706	38	0	8	1	1	8	1	1	1	1	1	37	0	0.4893562	1.889562	183.3465	126	152.8911	136.8855
5	39.62787	Memory	2.535144	4	1	7.857565	37	0	5	1	1	5	1	1	1	1	1	37	0	0.9372631	1.66739	183.3465	72.00002	143.5146	72.92568
6	45.62879	Memory	2.515337	4	1	6.000916	37	0	6	2	0	6	2	0	1	1	1	39	0	0.4976559	0.6596049	183.3465	144	152.6725	149.3922
7	52.54822	Memory	2.573175	4	1	6.91943	37	0	6	1	1	6	1	1	1	1	1	37	0	0.5011309	1.562628	183.3465	36	161.1021	30.86927
8	58.83172	Memory	2.560114	4	1	6.283501	37	0	7	3	1	7	3	1	1	1	1	39	0	0.5006829	0.9900519	183.3465	-144	186.2654	-155.4816
9	64.88234	Memory	2.581765	4	1	6.050621	37	0	7	1	1	7	1	1	1	1	1	38	0	0.4992619	1.025626	183.3465	162	160.528	156.8652
10	70.78763	Memory	2.597307	4	0	5.905289	37	0	3	1	1	3	3	1	1	0	1	15	0	0.4846472	0.8093578	183.3465	144	154.6687	146.8677
11	78.81726	Memory	2.381685	4	1	8.029633	35	0	7	1	1	7	1	1	1	1	1	38	0	0.9615973	1.166404	183.3465	36	144.1462	31.35345
