	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	6.488464	Memory	2.303064	7	1	6.488464	0	0	9	1	1	9	1	1	1	1	1	36	0	0.5464516	2.486824	183.3465	64.28572	137.628	71.69369
1	14.95409	Memory	2.006588	7	1	8.465621	36	0	8	0	0	8	0	0	1	1	1	38	0	0.6344416	1.398849	183.3465	-90	144.2047	-82.07926
2	22.33437	Memory	2.278582	7	1	7.380286	37	0	0	1	1	0	1	1	1	1	1	39	0	0.5631407	0.8098797	183.3465	79.71428	138.8777	89.8297
3	29.43534	Memory	2.467408	7	1	7.100965	37	0.2549769	2	2	0	2	2	0	1	1	1	38	0	0.643886	1.407062	183.3465	115.7143	140.4295	106.4372
4	35.74007	Memory	2.487173	7	1	6.304737	37	0	3	0	0	3	0	0	1	1	1	39	0	0.5135673	0.7736195	183.3465	115.7143	132.0916	113.8092
5	44.21009	Memory	2.562376	7	1	8.47002	38	0	0	1	1	0	1	1	1	1	1	38	0	0.4886859	1.427917	183.3465	-2.571419	178.457	6.885929
6	50.66318	Memory	2.557987	7	1	6.453087	38	0	5	3	1	5	3	1	1	1	1	39	0	0.5005187	0.9817034	183.3465	-141.4286	187.6654	-150.7604
7	57.02124	Memory	2.586725	7	1	6.358063	38	0	1	3	1	1	3	1	1	1	1	38	0	0.4978509	1.025797	183.3465	-177.4286	186.5736	-177.1689
8	63.18031	Memory	2.605522	7	1	6.159065	38	0	0	1	1	0	1	1	1	1	1	39	0	0.4853846	0.7957218	183.3465	131.1428	137.3294	131.6385
9	70.08206	Memory	2.632924	7	1	6.901752	38	0	3	1	1	3	1	1	1	1	1	38	0	0.7709832	1.274091	183.3465	79.71428	141.9522	85.76828
10	77.66524	Memory	2.630927	7	1	7.583176	38	0	9	1	1	9	1	1	1	1	1	38	0	0.4805353	1.447188	183.3465	-56.57145	166.0024	-38.16035
