	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.977182	MultiSuits	2.217776	7	1	5.977182	0	0	5	1	1	5	1	1	1	1	1	34	0.5797035	0	3.301505	189.0761	-108	143.6586	-113.0354
1	13.88189	MultiSuits	1.717776	7	1	7.904707	34	0	7	2	0	7	2	0	1	1	1	38	0.7302313	0	1.206912	189.0761	-123.4286	147.9274	-114.1557
2	21.75604	MultiSuits	2.122896	7	1	7.874153	36	0	7	3	1	7	3	1	1	1	1	35	0.5991622	0	2.770023	189.0761	167.1429	181.8351	169.3746
3	29.02615	MultiSuits	2.036927	7	1	7.270109	35	0	4	1	1	4	1	1	1	1	1	37	0.6165619	0	1.819519	189.0761	-126	153.258	-123.2243
4	35.29078	MultiSuits	2.112755	7	1	6.264624	36	0	3	0	0	3	0	0	1	1	1	39	0.5983404	0	0.8840818	189.0761	-154.2857	198.7336	-159.6787
5	42.40253	MultiSuits	2.251796	7	1	7.111755	36	0	6	3	1	6	3	1	1	1	1	37	0.566367	0	1.717347	189.0761	-33.42858	191.3398	-33.04567
6	49.19854	MultiSuits	2.275051	7	1	6.796009	36	0	2	1	1	2	1	1	1	1	1	38	0.5652996	0	1.46473	189.0761	51.42857	171.098	42.58232
7	54.89232	MultiSuits	2.309706	7	1	5.693783	36	0	6	3	1	6	3	1	1	1	1	39	0.5523891	0	0.9705439	189.0761	-5.142849	203.2074	-2.419651
8	61.64212	MultiSuits	2.366584	7	1	6.749802	37	0.1172432	5	3	1	5	3	1	1	1	1	37	0.5334886	0	1.726937	189.0761	-71.99999	150.3348	-80.67361
