	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	1.642829	Basic	2.853533	4	1	1.642829	0	5	3	1	5	3	1	1	1	1	39	0	0	0.7452748	183.3465	-180	201.9216	-178.0598
1	5.208012	Basic	2.877363	4	1	3.565182	39	3	0	0	3	0	0	1	1	1	39	0	0	0.6462664	183.3465	72	166.8046	71.65417
2	9.074004	Basic	2.902115	4	1	3.865993	39	5	1	1	5	1	1	1	1	1	38	0	0	1.064297	183.3465	-180	152.7751	174.5548
3	12.87348	Basic	2.840693	4	1	3.799475	38	2	1	1	2	1	1	1	1	1	39	0	0	0.7134674	183.3465	-126	153.5325	-125.2176
4	16.82684	Basic	2.853837	4	1	3.953361	38	3	1	1	3	1	1	1	1	1	39	0	0	0.6130833	183.3465	126	151.6286	125.9818
5	21.01073	Basic	2.871761	4	1	4.183886	38	9	2	0	9	2	0	1	1	1	38	0	0	1.212655	183.3465	-162	166.0429	-166.1925
6	24.85273	Basic	2.833746	4	1	3.842003	38	0	1	1	0	1	1	1	1	1	39	0	0	0.8283358	183.3465	108	157.8383	105.2638
7	28.56638	Basic	2.834044	4	1	3.713654	38	3	1	1	3	1	1	1	1	1	39	0	0	0.7416439	183.3465	108	179.6811	107.5256
8	32.44732	Basic	2.839686	4	1	3.880938	38	0	3	1	0	3	1	1	1	1	39	0	0	0.8932009	183.3465	108	233.1302	96.86678
9	36.30128	Basic	2.835654	4	1	3.853958	38	1	1	1	1	1	1	1	1	1	39	0	0	0.894601	183.3465	-144	180.193	-143.1996
10	40.35087	Basic	2.832359	4	1	4.049591	38	7	2	0	7	2	0	1	1	1	38	0	0	1.083457	183.3465	-162	186.0598	-159.6213
11	44.11345	Basic	2.821078	4	1	3.762577	38	7	3	1	7	3	1	1	1	1	39	0	0	0.6482623	183.3465	18	166.0419	21.32863
12	48.07761	Basic	2.829811	4	1	3.964161	38	3	1	1	3	1	1	1	1	1	39	0	0	0.9678176	183.3465	-71.99999	164.1436	-69.12006
13	51.96285	Basic	2.824909	4	1	3.885242	38	0	1	1	0	1	1	1	1	1	39	0	0	0.8621106	183.3465	-126	156.8675	-127.5686
14	56.22605	Basic	2.824483	4	1	4.263203	38	2	3	1	2	3	1	1	1	1	38	0	0	1.031032	183.3465	36	179.9659	34.29341
15	60.08186	Basic	2.818483	4	1	3.855808	38	1	1	1	1	1	1	1	1	1	39	0	0	0.7787839	183.3465	144	189.6439	131.0849
