	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.80436	CountSuits	2.395268	4	1	3.80436	0	8	1	1	8	1	1	1	1	1	35	0	0	2.556092	183.3465	90	161.0364	95.06239
1	9.26409	CountSuits	1.971954	4	1	5.459729	35	6	2	0	6	2	0	1	1	1	38	0	0	1.176428	183.3465	126	170.5611	121.2946
2	13.98541	CountSuits	2.31687	4	1	4.721318	36	3	0	0	3	0	0	1	1	1	38	0	0	1.242499	183.3465	1.001791E-05	140.8075	2.612875
3	18.41507	CountSuits	2.42083	4	1	4.429662	37	1	2	0	1	2	0	1	1	1	39	0	0	0.9684896	183.3465	1.001791E-05	204.5597	1.761213
4	22.49454	CountSuits	2.507061	4	1	4.079473	37	9	2	0	9	2	0	1	1	1	39	0	0	0.7521707	183.3465	72	193.9709	79.11752
5	27.18941	CountSuits	2.580432	4	1	4.694866	37	7	0	0	7	0	0	1	1	1	37	0	0	1.74623	183.3465	-126	141.6008	-122.4627
6	31.27039	CountSuits	2.546507	4	1	4.08098	37	2	1	1	2	1	1	1	1	1	38	0	0	1.079415	183.3465	-126	172.1564	-124.8505
7	35.39559	CountSuits	2.569905	4	1	4.125198	37	4	2	0	4	2	0	1	1	1	38	0	0	1.082914	183.3465	-36	190.6965	-30.61139
8	39.54133	CountSuits	2.587235	4	1	4.145744	37	2	2	0	2	2	0	1	1	1	39	0	0	0.9129562	183.3465	90	203.7567	89.07719
9	43.94648	CountSuits	2.610156	4	1	4.405148	37	7	0	0	7	0	0	1	1	1	38	0	0	1.482741	183.3465	-71.99999	201.3998	-76.17134
10	48.36538	CountSuits	2.600003	4	1	4.418896	37	6	1	1	6	1	1	1	1	1	38	0	0	1.185598	183.3465	-36	158.492	-35.5262
11	52.69142	CountSuits	2.605203	4	1	4.326042	37	9	2	0	9	2	0	1	1	1	38	0	0	1.172823	183.3465	144	186.0278	143.0628
12	57.41662	CountSuits	2.610068	4	1	4.725201	37	1	3	1	1	3	1	1	1	1	37	0	0	1.581624	183.3465	108	154.0025	109.4965
13	62.03568	CountSuits	2.598462	4	1	4.619064	37	2	3	1	2	3	1	1	1	1	38	0	0	1.207409	183.3465	54	180.7617	54.29111
