	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	6.742298	Basic	1	3	1	6.742298	0	0	2	1	1	2	1	1	1	1	1	38	1.267487	0	1.45262	183.3465	-77.99999	159.9876	-77.46801
1	15.88032	Basic	1.5	3	1	9.13802	38	0.4472995	7	1	1	7	1	1	1	1	1	37	0	0	1.745961	183.3465	-60	148.5095	-60.59054
2	22.4753	Basic	2	3	1	6.594984	37	0	2	3	1	2	3	1	1	1	1	37	0	0	1.703003	183.3465	96.00001	170.5946	101.6227
3	29.17325	Basic	2.433069	3	1	6.697948	37	0	9	0	0	9	0	0	1	1	1	38	0	0	1.446447	183.3465	60	145.0513	62.61827
4	36.00711	Basic	2.456496	3	1	6.83386	37	0	6	3	1	6	3	1	1	1	1	35	0	0	2.610126	183.3465	-96	149.1722	-83.99979
5	41.71197	Basic	2.354184	3	1	5.704861	37	0	5	1	1	5	1	1	1	1	1	37	0	0	1.524538	183.3465	-23.99999	164.6195	-16.96688
6	47.17356	Basic	2.376442	3	1	5.46159	37	0	8	3	1	8	3	1	1	1	1	38	0	0	1.330325	183.3465	-96	155.0987	-98.51494
7	52.42191	Basic	2.406213	3	1	5.248348	37	0	6	1	1	6	1	1	1	1	1	38	0	0	1.055176	183.3465	42.00002	153.2305	46.0019
8	58.07834	Basic	2.445738	3	0	5.656429	37	0	4	1	1	4	3	1	1	0	1	15	0	0	1.072332	183.3465	78	156.6011	85.80148
9	64.7512	Basic	2.200468	3	1	6.672859	34	0	7	0	0	7	0	0	1	1	1	38	0	0	1.071102	183.3465	24.00001	171.8036	25.32827
10	70.25804	Basic	2.249477	3	1	5.506844	35	0	7	1	1	7	1	1	1	1	1	38	0	0	1.11929	183.3465	60	162.4363	62.16075
11	75.79953	Basic	2.287978	3	1	5.541489	35	0	3	0	0	3	0	0	1	1	1	38	0	0	1.242901	183.3465	60	162.7257	50.88212
