	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.51262	MultiSuits	2.569254	4	1	3.51262	0	0	6	3	1	6	3	1	1	1	1	38	0	0	1.327204	183.3465	-108	130.3924	-114.8981
1	8.95306	MultiSuits	2.586398	4	1	5.44044	38	0	4	0	0	4	0	0	1	1	1	38	0	0	1.432099	183.3465	89.99999	136.5674	94.97835
2	14.44681	MultiSuits	2.560174	4	1	5.493752	38	0	8	1	1	8	1	1	1	1	1	37	0	0	1.533481	183.3465	-180	184.8932	-177.8031
3	19.6333	MultiSuits	2.534536	4	1	5.186489	37	0	8	0	0	8	0	0	1	1	1	38	0	0	1.084188	183.3465	89.99999	140.937	93.37569
4	25.31914	MultiSuits	2.577878	4	1	5.685835	37	0	0	2	0	0	2	0	1	1	1	37	0	0	1.739187	183.3465	1.001791E-05	156.8148	2.284566
5	30.79537	MultiSuits	2.538384	4	1	5.476238	37	0	9	1	1	9	1	1	1	1	1	38	0	0	1.178133	183.3465	1.001791E-05	159.4637	-2.039272
6	36.22073	MultiSuits	2.558809	4	1	5.425356	37	0	0	0	0	0	0	0	1	1	1	38	0	0	1.271105	183.3465	1.001791E-05	154.9564	13.16419
7	41.01874	MultiSuits	2.566757	4	1	4.798008	37	0	1	2	0	1	2	0	1	1	1	39	0	0	0.8549059	183.3465	1.001791E-05	174.1537	7.071276
8	45.78309	MultiSuits	2.598731	4	1	4.764355	37	0	5	2	0	5	2	0	1	1	1	39	0	0	0.6946213	183.3465	1.001791E-05	183.6188	-12.19395
9	50.73842	MultiSuits	2.632504	4	1	4.955326	38	0	3	1	1	3	1	1	1	1	1	39	0	0	0.900192	183.3465	-180	203.7509	-167.4776
10	55.60229	MultiSuits	2.649244	4	1	4.863876	38	0	5	3	1	5	3	1	1	1	1	39	0	0	0.9533229	183.3465	-180	154.6249	170.373
11	61.21367	MultiSuits	2.660526	4	1	5.611378	38	0	7	1	1	7	1	1	1	1	1	37	0	0	1.513435	183.3465	-90	211.5529	-92.03412
12	66.02708	MultiSuits	2.646589	4	1	4.813404	38	0	8	1	1	8	1	1	1	1	1	39	0	0	0.9121928	183.3465	144	160.7026	148.4067
13	71.00421	MultiSuits	2.65792	4	1	4.977135	38	0	5	1	1	5	1	1	1	1	1	39	0	0	0.9724622	183.3465	17.99999	142.0267	18.90388
14	77.88998	MultiSuits	2.665481	4	1	6.885773	38	0	8	1	1	8	1	1	1	1	1	35	0	0	2.986507	183.3465	144	160.7575	151.532
