	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	8.210345	Memory	2.614173	4	1	8.210345	0	0	7	2	0	7	2	0	1	1	1	36	3.004714	0.487143	2.342003	189.0761	162	176.8541	173.2977
1	19.76525	Memory	2.114173	4	1	11.55491	36	0	6	1	1	6	1	1	1	1	1	32	1.273708	0.6032245	4.458429	189.0761	72.00002	170.5473	73.07124
2	31.39357	Memory	1.614173	4	1	11.62831	34	0.8664219	2	3	1	2	3	1	1	1	1	34	0.7784771	0.7786317	3.497303	189.0761	-108	151.8197	-95.91426
3	41.20292	Memory	1.533711	4	1	9.809349	34	0	0	3	1	0	3	1	1	1	1	39	0.8280974	0.8176135	0.9535093	189.0761	1.001791E-05	194.8304	-1.374863
4	48.99784	Memory	1.843595	4	1	7.794918	35	0	4	3	1	4	3	1	1	1	1	39	0.6819825	0.6792287	0.6935565	189.0761	89.99999	212.7109	86.54639
5	56.23216	Memory	2.05552	4	1	7.234325	36	0	5	0	0	5	0	0	1	1	1	39	0.616837	0.6141329	0.7983957	189.0761	-180	208.2182	172.7589
6	63.68468	Memory	2.188067	4	1	7.452518	36	0	8	3	1	8	3	1	1	1	1	38	0.5821814	0.5798388	1.290011	189.0761	-18	183.0081	-22.94374
