	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.66983	Basic	2.781924	6	1	2.66983	0	9	0	0	9	0	0	1	1	1	38	0	0	1.281768	183.3465	-108	119.3056	-100.3521
1	6.814749	Basic	2.609116	6	1	4.144919	38	8	3	1	8	3	1	1	1	1	39	0	0	0.9649969	183.3465	108	152.8655	100.9281
2	11.54148	Basic	2.688309	6	1	4.726729	38	2	0	0	2	0	0	1	1	1	38	0	0	1.324418	183.3465	-12	166.6764	-14.53783
3	15.71346	Basic	2.654803	6	1	4.171987	38	3	2	0	3	2	0	1	1	1	39	0	0	0.9853454	183.3465	-71.99999	146.8789	-68.83233
4	20.49084	Basic	2.680434	6	1	4.777376	38	4	3	1	4	3	1	1	1	1	38	0	0	1.188872	183.3465	65.99999	157.1699	60.18098
5	24.89297	Basic	2.67546	6	1	4.402128	38	1	1	1	1	1	1	1	1	1	38	0	0	1.321809	183.3465	-174	157.9788	-171.94
6	29.22168	Basic	2.661066	6	1	4.328714	38	2	2	0	2	2	0	1	1	1	39	0	0	0.8816913	183.3465	126	172.1187	117.8263
7	33.06603	Basic	2.682221	6	1	3.844349	38	7	2	0	7	2	0	1	1	1	39	0	0	0.717118	183.3465	60	168.4847	58.0636
8	37.14086	Basic	2.708374	6	1	4.074829	38	3	1	1	3	1	1	1	1	1	39	0	0	0.9291812	183.3465	-174	165.0921	178.767
9	41.18985	Basic	2.716933	6	1	4.048988	38	5	2	0	5	2	0	1	1	1	39	0	0	0.870296	183.3465	60	177.7368	56.60313
10	45.30434	Basic	2.726725	6	1	4.114487	38	3	0	0	3	0	0	1	1	1	39	0	0	0.761806	183.3465	-114	137.1505	-116.0033
11	49.69617	Basic	2.739668	6	1	4.39183	38	6	2	0	6	2	0	1	1	1	38	0	0	1.029557	183.3465	0	147.5805	-0.7426787
12	54.08772	Basic	2.739298	6	1	4.391552	38	4	1	1	4	1	1	1	1	1	39	0	0	0.9632092	183.3465	18	196.6422	11.95017
13	58.43558	Basic	2.741536	6	1	4.347862	38	2	0	0	2	0	0	1	1	1	39	0	0	0.9687012	183.3465	65.99999	148.5298	60.93514
