	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	1.918094	MultiSuits	2.485091	3	1	1.918094	0	3	3	1	3	3	1	1	1	1	39	0	0	0.9441301	183.3465	-150	141.0733	-157.807
1	5.433845	MultiSuits	2.777935	3	1	3.51575	39	6	1	1	6	1	1	1	1	1	39	0	0	0.6859497	183.3465	-150	184.2963	-155.5631
2	9.139704	MultiSuits	2.84248	3	1	3.705859	39	2	0	0	2	0	0	1	1	1	39	0	0	0.7853637	183.3465	-150	171.0886	-155.5636
3	12.83807	MultiSuits	2.847426	3	1	3.69837	39	6	2	0	6	2	0	1	1	1	39	0	0	0.9472762	183.3465	-29.99998	142.9387	-33.05145
4	16.48295	MultiSuits	2.82966	3	1	3.644876	39	4	2	0	4	2	0	1	1	1	39	0	0	0.8491049	183.3465	90	155.6755	87.38374
5	20.52558	MultiSuits	2.828818	3	1	4.042627	39	2	2	0	2	2	0	1	1	1	38	0	0	1.283839	183.3465	90	165.2819	83.54474
6	23.93681	MultiSuits	2.792028	3	1	3.41123	38	0	3	1	0	3	1	1	1	1	40	0	0	0.4969935	183.3465	90	140.0806	85.97016
7	28.26616	MultiSuits	2.821953	3	1	4.329348	39	5	0	0	5	0	0	1	1	1	38	0	0	1.462727	183.3465	-54.00001	151.8294	-49.30917
8	32.14948	MultiSuits	2.784039	3	1	3.883324	38	2	2	0	2	2	0	1	1	1	39	0	0	0.939638	183.3465	-54.00001	219.1304	-49.1972
9	35.60455	MultiSuits	2.78361	3	1	3.455074	38	3	2	0	3	2	0	1	1	1	39	0	0	0.6126467	183.3465	54	140.1508	41.12282
10	39.05371	MultiSuits	2.799617	3	1	3.449154	38	3	3	1	3	3	1	1	1	1	39	0	0	0.7340613	183.3465	-65.99999	151.1648	-74.48144
11	42.78146	MultiSuits	2.807194	3	1	3.727749	38	2	0	0	2	0	0	1	1	1	39	0	0	0.7786328	183.3465	174	193.5742	170.4845
12	46.64981	MultiSuits	2.811651	3	1	3.868355	38	0	1	1	0	1	1	1	1	1	38	0	0	1.142019	183.3465	-65.99999	164.7863	-69.01025
13	50.22795	MultiSuits	2.801447	3	1	3.578136	38	9	1	1	9	1	1	1	1	1	39	0	0	0.6989052	183.3465	54	148.3507	47.31447
14	53.95527	MultiSuits	2.808526	3	1	3.727325	38	5	1	1	5	1	1	1	1	1	38	0	0	1.093841	183.3465	-29.99998	139.6767	-23.65507
15	57.67115	MultiSuits	2.801496	3	1	3.715878	38	1	2	0	1	2	0	1	1	1	39	0	0	0.9943696	183.3465	-29.99998	155.2573	-28.73124
16	61.44728	MultiSuits	2.798453	3	1	3.776131	38	8	2	0	8	2	0	1	1	1	39	0	0	0.8818035	183.3465	90	143.2232	75.40673
