	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	1.257587	CountSuits	1.6769	4	1	1.257587	0	1	0	0	1	0	0	1	1	1	39	0.2869878	0	0.6146944	171.8874	42.00002	160.4483	35.48322
1	5.889353	CountSuits	2.1769	4	1	4.631766	39	0	3	1	0	3	1	1	1	1	38	0	0	1.164481	171.8873	126	151.8286	117.1407
2	9.913556	CountSuits	2.6769	4	1	4.024203	38	1	3	1	1	3	1	1	1	1	38	0	0	1.121704	171.8873	126	153.4393	126.0274
3	14.84177	CountSuits	2.76652	4	1	4.928215	38	2	0	0	2	0	0	1	1	1	36	0.02554188	0	2.076014	171.8873	-162	195.273	-174.2128
4	19.52136	CountSuits	2.627888	4	0	4.679585	37	5	2	0	5	0	0	1	0	1	15	0.2352519	0	1.339936	171.8873	36	182.5164	40.62809
5	24.98706	CountSuits	2.127888	4	1	5.465704	33	3	3	1	3	3	1	1	1	1	39	0.122514	0	0.980614	171.8874	17.99999	168.8427	26.88358
6	30.30317	CountSuits	2.201566	4	1	5.316109	34	5	3	1	5	3	1	1	1	1	38	0.3624174	0	1.287788	171.8873	-54.00001	151.1553	-64.72478
7	35.98	CountSuits	2.260088	4	1	5.67683	34	4	3	1	4	3	1	1	1	1	36	0.1523212	0	2.032346	171.8874	-144	187.1952	-151.9984
8	42.00143	CountSuits	2.263101	4	1	6.021427	34	4	1	1	4	1	1	1	1	1	36	0	0	2.310922	171.8873	-54.00001	157.3103	-57.05227
