	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	2.433855	Memory	2.85229	4	1	2.433855	0	3	1	1	3	1	1	1	1	1	40	0	0.3479006	0.4690148	183.3465	72.00002	168.7246	64.05771
1	6.472545	Memory	3	4	1	4.03869	40	0	0	0	0	0	0	1	1	1	40	0	0.2982001	0.4427505	183.3465	90	147.1374	76.45456
2	10.89658	Memory	3	4	1	4.424032	40	2	2	0	2	2	0	1	1	1	39	0	0.2311836	0.8806479	183.3465	-126	118.8401	-125.7368
3	15.29276	Memory	2.951264	4	1	4.396186	39	2	2	0	2	2	0	1	1	1	39	0	0.1980482	0.831131	183.3465	-90	212.5963	-95.0144
4	19.73	Memory	2.922057	4	1	4.437241	39	4	2	0	4	2	0	1	1	1	39	0	0.4352344	0.7650687	183.3465	-90	141.6734	-86.01678
5	24.28872	Memory	2.911139	4	1	4.558712	39	8	0	0	8	0	0	1	1	1	38	0	0.2485011	1.034036	183.3465	-36	189.7521	-39.21393
6	29.12202	Memory	2.881446	4	1	4.833303	39	8	2	0	8	2	0	1	1	1	38	0	0.2322573	1.209365	183.3465	-18	153.462	-15.17459
7	33.83085	Memory	2.847713	4	1	4.70883	39	6	0	0	6	0	0	1	1	1	39	0	0.3311756	0.7655609	183.3465	-18	157.0592	-15.43873
8	38.37315	Memory	2.850152	4	1	4.542297	39	7	0	0	7	0	0	1	1	1	39	0	0.1822374	0.7457117	183.3465	144	142.8392	138.6489
9	42.76524	Memory	2.853151	4	1	4.39209	39	7	3	1	7	3	1	1	1	1	39	0	0.2419857	0.791788	183.3465	-108	156.2818	-103.9633
10	47.01799	Memory	2.853246	4	1	4.252758	39	9	2	0	9	2	0	1	1	1	39	0	0.1491008	0.5804089	183.3465	162	224.8004	158.2374
11	51.55883	Memory	2.862932	4	1	4.54084	39	7	2	0	7	2	0	1	1	1	39	0	0.2650698	0.9136037	183.3465	-36	139.0821	-37.41061
12	56.20257	Memory	2.857121	4	1	4.643738	39	3	0	0	3	0	0	1	1	1	39	0	0.2327109	0.8639494	183.3465	144	195.9819	141.8518
13	60.5039	Memory	2.854114	4	1	4.301331	39	3	1	1	3	1	1	1	1	1	40	0	0.2816325	0.4969967	183.3465	72.00002	137.1634	72.61193
