Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.918832	3	52	52	1	True	True	True	38	0	0.629151	0.8078921	1.033272	2.682329	171.8874	-29.99998	142.5956	-25.15063
1	7.592407	3	21	21	1	True	True	True	38	38	0.1282471	0.7287228	1.126864	2.733364	171.8873	89.99999	177.1808	91.86675
2	12.63145	3	49	49	1	True	True	True	38	38	0.06449954	0.3441643	1.076537	2.709966	171.8873	-30.00001	170.4838	-26.013
3	17.49832	3	13	13	1	True	True	True	39	38	0.1348947	0.2886442	0.7817494	2.710555	171.8874	-29.99998	200.4437	-31.13095
4	22.35446	3	31	31	1	True	True	True	39	38	0.06819919	0.3005686	0.7364452	2.747697	171.8873	-30.00001	142.5482	-32.13954
5	27.42488	3	7	7	1	True	True	True	39	38	0.297319	0.2804585	0.7920178	2.774513	171.8873	-150	168.3534	-156.3911
6	32.16585	3	73	73	1	True	True	True	39	38	0.03654649	0.4279633	0.7793237	2.78776	171.8873	-150	145.4675	-149.5502
7	37.19618	3	17	17	1	True	True	True	39	38	0.1528786	0.4325216	0.9074191	2.798128	171.8873	-150	161.2237	-151.0993
8	42.55766	3	43	43	1	True	True	True	39	38	0.1544608	0.7778891	0.8983772	2.797898	171.8874	-29.99998	173.5266	-26.48757
9	47.71396	3	67	67	1	True	True	True	39	38	0.1481364	0.6054523	0.8465762	2.798222	171.8874	-29.99998	155.5602	-29.8528
10	52.49603	3	23	23	1	True	True	True	39	38	0	0.349272	0.9015736	2.801071	171.8873	-30.00001	132.12	-29.92853
11	57.28889	3	19	19	1	True	True	True	39	38	0.040588	0.3598712	0.6451782	2.800902	171.8873	90	132.7333	84.09775
