	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.774491	Memory	2.501699	7	1	4.774491	0	0	4	1	1	4	1	1	1	1	1	38	0.513716	0.5105639	1.444051	189.0761	46.28572	197.5474	33.48013
1	11.37494	Memory	2.527974	7	1	6.600448	38	0	5	2	0	5	2	0	1	1	1	38	0.5013815	0.4967198	1.033606	189.0761	97.71428	165.2315	111.4379
2	18.97907	Memory	2.630586	7	1	7.60413	38	0	0	2	0	0	2	0	1	1	1	36	0.4805392	0.480725	2.060398	189.0761	12.85713	180.3009	6.786841
3	27.44274	Memory	2.493657	7	1	8.463667	37	0.3322305	1	3	1	1	3	1	1	1	1	36	0.5135664	1.214039	2.12949	189.0761	-90	146.9911	-96.56817
4	34.26927	Memory	2.416557	7	1	6.826532	37	0	5	1	1	5	1	1	1	1	1	39	0.5211595	0.5179986	0.8358551	189.0761	115.7143	168.5575	114.8489
5	41.34287	Memory	2.49966	7	1	7.073601	37	0	5	2	0	5	2	0	1	1	1	38	0.5135711	0.5081543	1.14165	189.0761	-56.57145	195.8239	-56.83692
6	48.09715	Memory	2.529579	7	1	6.754284	37	0	8	2	0	8	2	0	1	1	1	38	0.4970032	0.4972649	1.016938	189.0761	115.7143	177.0168	112.2055
7	55.9723	Memory	2.559858	7	1	7.875149	37	0	5	2	0	5	2	0	1	1	1	36	0.5026782	0.500605	2.065717	189.0761	12.85713	182.9996	11.57928
8	63.47122	Memory	2.517018	7	1	7.49892	37	0	8	0	0	8	0	0	1	1	1	37	0.5027907	0.5035767	1.727615	189.0761	12.85713	160.5772	18.80106
